,pearson_r,p_value,spearman_r,significant
dist_median,-0.02797615665049848,2.521807558207849e-05,-0.11142285331909371,True
dist_mad,-0.02648223205102032,6.669092071580117e-05,-0.2376516958883684,True
dist_cv,-0.02138978596999611,0.0012785258085580003,-0.2867370754161298,True
dist_skew,-0.020842922373191172,0.0016987580121944805,-0.17092702185008526,True
dist_q75,-0.018770953857527802,0.004708133533872261,-0.1855350055275327,True
dist_iqr_ratio,-0.018642982318577254,0.004999267246927982,-0.30561332825806636,True
dist_kurtosis,-0.01859284833578476,0.005117690554250529,-0.07721267913952418,True
dist_iqr,-0.018315183454983622,0.005820677485115126,-0.2521434553569151,True
dist_range_ratio,-0.017974169418345856,0.006802505523495635,-0.2397072506218238,True
dist_q25,-0.01672726254667952,0.011782655532291207,-0.021401229276836086,True
dist_min,-0.00688604110468017,0.2998495705824087,0.16594350682977943,False
dist_entropy,0.0050293491419276,0.44892405634126237,0.17170403362902184,False
dist_max,-0.0011310415683854413,0.8647847356248392,-0.1770444374300397,False
dist_range,-0.0011310415526528943,0.8647847374875439,-0.21759470805277434,False
dist_std,-0.0010590205543638568,0.8733196125925461,-0.23831884162291395,False
dist_mean,-0.0010112440104020474,0.878989597744108,-0.1575332887404555,False
