generation,iterations,hardest_value,optimal_cost,file_path,mutation_type,generation_type,distribution,city_size,range,normed_unique_distances,log_iterations,nearest_neighbor_norm,num_distinct_distances
1,10680,10680,661.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.01839080459770115,9.276128112514279,1.0000000000000002,8
4,17793,17793,661.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.01839080459770115,9.786560400506893,1.0000000000000002,8
9,21336,21336,662.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.020689655172413793,9.968151065861898,1.0000000000000002,9
10,52282,52282,660.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.020689655172413793,10.864407422553507,1.0,9
19,60623,60623,662.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.022988505747126436,11.012429638004907,1.0,10
21,87705,87705,656.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.02528735632183908,11.381734189277893,1.0,11
23,87732,87732,656.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.02528735632183908,11.382041992081328,1.0,11
24,135219,135219,649.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.02528735632183908,11.814650965261613,1.0,11
35,136190,136190,649.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.02528735632183908,11.82180624856301,1.0,11
38,136194,136194,649.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.027586206896551724,11.821835618863764,1.0,12
42,182986,182986,650.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.027586206896551724,12.11716492616484,1.0,12
43,195828,195828,634.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.029885057471264367,12.18499200191894,0.9999999999999999,13
45,195837,195837,634.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.03218390804597701,12.18503795956132,0.9999999999999999,14
54,196591,196591,634.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.034482758620689655,12.188880707417445,0.9999999999999999,15
63,211056,211056,611.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.0367816091954023,12.259878780088705,0.9999999999999999,16
70,211183,211183,611.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.03908045977011494,12.260480335150318,0.9999999999999999,17
102,211207,211207,611.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.03908045977011494,12.260593974204394,0.9999999999999999,17
103,222601,222601,611.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.041379310344827586,12.313136210176479,0.9999999999999999,18
107,222633,222633,611.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.041379310344827586,12.313279954814377,0.9999999999999999,18
109,231439,231439,611.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.04367816091954023,12.352071618866404,0.9999999999999999,19
113,251806,251806,611.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.04367816091954023,12.436414228743761,0.9999999999999999,19
115,252364,252364,611.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.04367816091954023,12.438627768731617,0.9999999999999999,19
118,252727,252727,611.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.04367816091954023,12.44006513373118,0.9999999999999999,19
119,287292,287292,609.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.04367816091954023,12.568254399121983,1.0,19
127,287295,287295,609.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.04597701149425287,12.568264841404874,1.0,20
128,287416,287416,609.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.04827586206896552,12.568685922615389,1.0,21
150,287443,287443,609.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.05057471264367816,12.568779858693697,1.0,22
151,287448,287448,609.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.052873563218390804,12.568797253295456,1.0,23
161,288392,288392,609.0,../data/Continuation/uniform_euclidean/city30_range55_wouter.json,inplace,euclidean,uniform,30,55.0,0.05517241379310345,12.572075944757154,1.0,24
1,89837,89837,1218.0,../data/Continuation/uniform_euclidean/city30_range100_wouter.json,inplace,euclidean,uniform,30,100.0,0.0367816091954023,11.405752196156657,1.0,16
2,214377,214377,1186.0,../data/Continuation/uniform_euclidean/city30_range100_wouter.json,inplace,euclidean,uniform,30,100.0,0.03908045977011494,12.27549142630489,1.0,17
9,215852,215852,1186.0,../data/Continuation/uniform_euclidean/city30_range100_wouter.json,inplace,euclidean,uniform,30,100.0,0.041379310344827586,12.28234826663447,1.0,18
35,215969,215969,1186.0,../data/Continuation/uniform_euclidean/city30_range100_wouter.json,inplace,euclidean,uniform,30,100.0,0.04367816091954023,12.28289015784802,1.0,19
70,221365,221365,1186.0,../data/Continuation/uniform_euclidean/city30_range100_wouter.json,inplace,euclidean,uniform,30,100.0,0.04367816091954023,12.307568201845758,1.0000000000000004,19
71,224166,224166,1186.0,../data/Continuation/uniform_euclidean/city30_range100_wouter.json,inplace,euclidean,uniform,30,100.0,0.04597701149425287,12.320142127807909,1.0000000000000004,20
76,233654,233654,1186.0,../data/Continuation/uniform_euclidean/city30_range100_wouter.json,inplace,euclidean,uniform,30,100.0,0.04827586206896552,12.361596667605406,1.0000000000000004,21
93,234338,234338,1186.0,../data/Continuation/uniform_euclidean/city30_range100_wouter.json,inplace,euclidean,uniform,30,100.0,0.04827586206896552,12.364519796577897,1.0000000000000004,21
94,275313,275313,1186.0,../data/Continuation/uniform_euclidean/city30_range100_wouter.json,inplace,euclidean,uniform,30,100.0,0.04827586206896552,12.525663911229039,1.0000000000000004,21
101,275905,275905,1186.0,../data/Continuation/uniform_euclidean/city30_range100_wouter.json,inplace,euclidean,uniform,30,100.0,0.05057471264367816,12.527811882549326,1.0000000000000004,22
104,320098,320098,1181.0,../data/Continuation/uniform_euclidean/city30_range100_wouter.json,inplace,euclidean,uniform,30,100.0,0.052873563218390804,12.676382477890954,0.9999999999999999,23
105,321021,321021,1181.0,../data/Continuation/uniform_euclidean/city30_range100_wouter.json,inplace,euclidean,uniform,30,100.0,0.05517241379310345,12.679261820533073,0.9999999999999999,24
107,616731,616731,1147.0,../data/Continuation/uniform_euclidean/city30_range100_wouter.json,inplace,euclidean,uniform,30,100.0,0.05747126436781609,13.33218822726932,1.0,25
111,616926,616926,1147.0,../data/Continuation/uniform_euclidean/city30_range100_wouter.json,inplace,euclidean,uniform,30,100.0,0.059770114942528735,13.33250436052455,1.0,26
115,616982,616982,1147.0,../data/Continuation/uniform_euclidean/city30_range100_wouter.json,inplace,euclidean,uniform,30,100.0,0.059770114942528735,13.3325951290422,1.0,26
121,616987,616987,1147.0,../data/Continuation/uniform_euclidean/city30_range100_wouter.json,inplace,euclidean,uniform,30,100.0,0.059770114942528735,13.332603232973499,1.0,26
128,617206,617206,1147.0,../data/Continuation/uniform_euclidean/city30_range100_wouter.json,inplace,euclidean,uniform,30,100.0,0.059770114942528735,13.332958120745992,1.0,26
129,617207,617207,1147.0,../data/Continuation/uniform_euclidean/city30_range100_wouter.json,inplace,euclidean,uniform,30,100.0,0.059770114942528735,13.33295974094928,1.0,26
1,32553,32553,1117.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.034482758620689655,10.390624809288347,1.0,15
3,79984,79984,1120.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.0367816091954023,11.289581893653365,0.9999999999999999,16
16,81440,81440,1120.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.03908045977011494,11.307621831784362,0.9999999999999999,17
22,82908,82908,1121.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.041379310344827586,11.325486838276808,0.9999999999999999,18
26,95398,95398,1121.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.04367816091954023,11.465812892856047,0.9999999999999999,19
29,95523,95523,1121.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.04367816091954023,11.467122335168424,0.9999999999999999,19
30,98984,98984,1121.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.04597701149425287,11.502713499893822,0.9999999999999999,20
31,105514,105514,1121.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.04827586206896552,11.566598924516013,0.9999999999999999,21
46,106210,106210,1110.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.05057471264367816,11.573173545315594,1.0,22
70,106214,106214,1110.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.052873563218390804,11.5732112058436,1.0,23
117,107605,107605,1078.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.05517241379310345,11.586222394031696,0.9999999999999999,24
119,107606,107606,1078.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.05517241379310345,11.586231687236968,0.9999999999999999,24
124,112229,112229,1053.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.05747126436781609,11.628296705697068,1.0000000000000002,25
160,131943,131943,1053.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.05747126436781609,11.790125290126378,1.0000000000000002,25
178,131979,131979,1053.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.059770114942528735,11.790398098003124,1.0000000000000002,26
181,158871,158871,1037.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06206896551724138,11.975847831148851,1.0,27
191,158873,158873,1037.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06436781609195402,11.975860419899544,1.0,28
195,158875,158875,1037.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06436781609195402,11.975873008491762,1.0,28
203,158940,158940,1037.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06436781609195402,11.976282051494177,1.0,28
204,165818,165818,1036.0,../data/Continuation/uniform_euclidean/city30_range90_wouter.json,inplace,euclidean,uniform,30,90.0,0.06666666666666667,12.01864608032622,0.9999999999999999,29
