generation,iterations,hardest_value,optimal_cost,file_path,mutation_type,generation_type,distribution,city_size,range,normed_unique_distances,log_iterations,nearest_neighbor_norm,num_distinct_distances
1,2664870,2664870,449.0,../data/Continuation/lognormal_euclidean/city30_range4.8_swap.json,swap,euclidean,lognormal,30,4.8,0.07816091954022988,14.79566583390447,1.0,34
1,298297,298297,296.0,../data/Continuation/lognormal_euclidean/city20_range4.0_wouter.json,inplace,euclidean,lognormal,20,4.0,0.12105263157894737,12.605844913462663,1.0,23
1,80537,80537,336.0,../data/Continuation/lognormal_euclidean/city20_range3.2_swap.json,swap,euclidean,lognormal,20,3.2,0.06315789473684211,11.296471985139574,1.0,12
20,89008,89008,334.0,../data/Continuation/lognormal_euclidean/city20_range3.2_swap.json,swap,euclidean,lognormal,20,3.2,0.06315789473684211,11.396481532315086,1.0,12
1,7141,7141,271.0,../data/Continuation/lognormal_euclidean/city20_range1.4_swap.json,swap,euclidean,lognormal,20,1.4,0.12631578947368421,8.87360810154925,1.0000000000000002,24
3,7490,7490,269.0,../data/Continuation/lognormal_euclidean/city20_range1.4_swap.json,swap,euclidean,lognormal,20,1.4,0.12631578947368421,8.921324076511398,1.0,24
8,7655,7655,228.0,../data/Continuation/lognormal_euclidean/city20_range1.4_swap.json,swap,euclidean,lognormal,20,1.4,0.12631578947368421,8.943114308091914,0.9999999999999998,24
9,9608,9608,192.0,../data/Continuation/lognormal_euclidean/city20_range1.4_swap.json,swap,euclidean,lognormal,20,1.4,0.12631578947368421,9.170351363759924,0.9999999999999998,24
11,9687,9687,192.0,../data/Continuation/lognormal_euclidean/city20_range1.4_swap.json,swap,euclidean,lognormal,20,1.4,0.12631578947368421,9.178540059426489,0.9999999999999998,24
12,14010,14010,191.0,../data/Continuation/lognormal_euclidean/city20_range1.4_swap.json,swap,euclidean,lognormal,20,1.4,0.12631578947368421,9.547526639331124,1.0000000000000004,24
19,5243514,5243514,190.0,../data/Continuation/lognormal_euclidean/city20_range1.4_swap.json,swap,euclidean,lognormal,20,1.4,0.12631578947368421,15.472502442225379,1.0,24
