generation,iteration,mutation_type,generation_type,distribution,city_size,range,iterations,symmetric,normed_unique_distances,nearest_neighbor_norm,log_iterations
0,23.0,random_sampling,asymmetric,lognormal,20,2.0,23.0,False,0.9973684210526316,1.0000000000000002,3.1354942159291497
0,47.0,random_sampling,asymmetric,lognormal,20,0.8,47.0,False,0.9973684210526316,1.0,3.8501476017100584
0,953.0,random_sampling,asymmetric,lognormal,30,1.2,953.0,False,0.9873563218390805,1.0,6.859614903654202
0,20.0,random_sampling,asymmetric,lognormal,20,4.6,20.0,False,0.9368421052631579,1.0000000000000002,2.995732273553991
0,1912.0,random_sampling,asymmetric,lognormal,30,4.0,1912.0,False,0.9517241379310345,1.0,7.555905093611346
0,64.0,random_sampling,asymmetric,lognormal,20,3.2,64.0,False,0.9894736842105263,1.0,4.1588830833596715
0,57.0,random_sampling,asymmetric,lognormal,20,2.6,57.0,False,0.9921052631578947,1.0000000000000002,4.04305126783455
0,92.0,random_sampling,asymmetric,lognormal,20,1.2,92.0,False,0.9973684210526316,1.0,4.5217885770490405
0,41.0,random_sampling,asymmetric,lognormal,20,2.4,41.0,False,0.9947368421052631,1.0000000000000002,3.713572066704308
0,204.0,random_sampling,asymmetric,lognormal,30,3.0,204.0,False,0.9873563218390805,1.0000000000000002,5.318119993844216
0,119.0,random_sampling,asymmetric,lognormal,20,4.2,119.0,False,0.9736842105263158,1.0000000000000002,4.77912349311153
0,166.0,random_sampling,asymmetric,lognormal,30,4.2,166.0,False,0.9321839080459771,0.9999999999999999,5.111987788356544
0,131.0,random_sampling,asymmetric,lognormal,30,3.4,131.0,False,0.9758620689655172,1.0000000000000002,4.875197323201151
0,199.0,random_sampling,asymmetric,lognormal,30,2.4,199.0,False,0.9885057471264368,1.0,5.293304824724492
0,94.0,random_sampling,asymmetric,lognormal,30,4.6,94.0,False,0.9413793103448276,1.0,4.543294782270004
0,42.0,random_sampling,asymmetric,lognormal,30,0.4,42.0,False,0.9850574712643678,0.9999999999999999,3.7376696182833684
0,36.0,random_sampling,asymmetric,lognormal,30,4.8,36.0,False,0.9126436781609195,0.9999999999999998,3.58351893845611
0,1096.0,random_sampling,asymmetric,lognormal,30,1.6,1096.0,False,0.9977011494252873,1.0,6.999422467507961
0,100.0,random_sampling,asymmetric,lognormal,30,2.6,100.0,False,0.9873563218390805,1.0,4.605170185988092
0,63.0,random_sampling,asymmetric,lognormal,20,1.0,63.0,False,0.9947368421052631,1.0,4.143134726391533
0,429.0,random_sampling,asymmetric,lognormal,30,1.4,429.0,False,0.9954022988505747,1.0,6.061456918928017
0,540.0,random_sampling,asymmetric,lognormal,30,2.0,540.0,False,0.996551724137931,1.0000000000000002,6.29156913955832
0,18.0,random_sampling,asymmetric,lognormal,20,3.4,18.0,False,0.9815789473684211,1.0,2.8903717578961645
0,27.0,random_sampling,asymmetric,lognormal,20,4.8,27.0,False,0.9394736842105263,1.0000000000000002,3.295836866004329
0,148.0,random_sampling,asymmetric,lognormal,20,2.2,148.0,False,1.0,1.0,4.997212273764115
0,2810.0,random_sampling,asymmetric,lognormal,30,1.0,2810.0,False,0.9919540229885058,0.9999999999999999,7.940939762327791
0,33.0,random_sampling,asymmetric,lognormal,20,4.0,33.0,False,0.9736842105263158,0.9999999999999998,3.4965075614664802
0,28.0,random_sampling,asymmetric,lognormal,20,3.6,28.0,False,0.9631578947368421,1.0,3.332204510175204
0,1195.0,random_sampling,asymmetric,lognormal,30,0.8,1195.0,False,0.9908045977011494,1.0,7.085901464365611
0,53.0,random_sampling,asymmetric,lognormal,20,2.8,53.0,False,0.9947368421052631,0.9999999999999998,3.970291913552122
0,1324.0,random_sampling,asymmetric,lognormal,30,0.2,1324.0,False,0.9528735632183908,1.0,7.188412736496954
0,630.0,random_sampling,asymmetric,lognormal,30,1.8,630.0,False,0.9919540229885058,1.0000000000000002,6.4457198193855785
0,282.0,random_sampling,asymmetric,lognormal,30,4.4,282.0,False,0.9379310344827586,1.0000000000000002,5.641907070938114
0,90.0,random_sampling,asymmetric,lognormal,20,0.2,90.0,False,0.9921052631578947,1.0,4.499809670330265
0,90.0,random_sampling,asymmetric,lognormal,20,3.8,90.0,False,0.9789473684210527,1.0,4.499809670330265
0,122.0,random_sampling,asymmetric,lognormal,20,5.0,122.0,False,0.9421052631578948,1.0000000000000002,4.804021044733257
0,72.0,random_sampling,asymmetric,lognormal,30,5.0,72.0,False,0.9091954022988505,1.0,4.276666119016055
0,51.0,random_sampling,asymmetric,lognormal,20,1.8,51.0,False,0.9973684210526316,1.0,3.9318256327243257
0,102.0,random_sampling,asymmetric,lognormal,20,3.0,102.0,False,0.9973684210526316,1.0,4.624972813284271
0,118.0,random_sampling,asymmetric,lognormal,20,0.4,118.0,False,0.9947368421052631,1.0,4.770684624465665
0,161.0,random_sampling,asymmetric,lognormal,30,3.8,161.0,False,0.960919540229885,1.0,5.081404364984463
0,274.0,random_sampling,asymmetric,lognormal,30,3.6,274.0,False,0.9701149425287356,0.9999999999999999,5.6131281063880705
0,743.0,random_sampling,asymmetric,lognormal,30,3.2,743.0,False,0.9793103448275862,1.0,6.610696044717759
0,43.0,random_sampling,asymmetric,lognormal,20,1.4,43.0,False,1.0,1.0,3.7612001156935624
0,1182.0,random_sampling,asymmetric,lognormal,30,2.8,1182.0,False,0.9885057471264368,1.0000000000000002,7.074963197966044
0,217.0,random_sampling,asymmetric,lognormal,30,0.6,217.0,False,0.9873563218390805,1.0000000000000002,5.37989735354046
0,69.0,random_sampling,asymmetric,lognormal,20,1.6,69.0,False,0.9973684210526316,1.0,4.23410650459726
0,251.0,random_sampling,asymmetric,lognormal,30,2.2,251.0,False,0.9896551724137931,1.0,5.5254529391317835
0,61.0,random_sampling,asymmetric,lognormal,20,0.6,61.0,False,1.0,1.0,4.110873864173311
0,18.0,random_sampling,asymmetric,lognormal,20,4.4,18.0,False,0.9736842105263158,1.0000000000000002,2.8903717578961645
0,428.0,random_sampling,asymmetric,uniform,30,5.0,428.0,False,0.006896551724137931,,6.059123195581797
0,2547.0,random_sampling,asymmetric,uniform,30,40.0,2547.0,False,0.047126436781609195,1.0,7.842671474979457
0,80.0,random_sampling,asymmetric,uniform,20,65.0,80.0,False,0.1736842105263158,1.0,4.382026634673881
0,79.0,random_sampling,asymmetric,uniform,30,100.0,79.0,False,0.11609195402298851,0.9999999999999999,4.3694478524670215
0,245.0,random_sampling,asymmetric,uniform,30,15.0,245.0,False,0.01839080459770115,1.0,5.501258210544727
0,102.0,random_sampling,asymmetric,uniform,20,70.0,102.0,False,0.1868421052631579,1.0000000000000002,4.624972813284271
0,70.0,random_sampling,asymmetric,uniform,20,20.0,70.0,False,0.05526315789473684,1.0,4.248495242049359
0,1037.0,random_sampling,asymmetric,uniform,30,95.0,1037.0,False,0.1103448275862069,1.0000000000000002,6.9440872082295275
0,2055.0,random_sampling,asymmetric,uniform,30,90.0,2055.0,False,0.10459770114942529,0.9999999999999998,7.628031126930335
0,788.0,random_sampling,asymmetric,uniform,30,60.0,788.0,False,0.07011494252873564,1.0,6.669498089857879
0,327.0,random_sampling,asymmetric,uniform,30,30.0,327.0,False,0.035632183908045977,1.0000000000000002,5.7899601708972535
0,233.0,random_sampling,asymmetric,uniform,30,10.0,233.0,False,0.01264367816091954,1.0,5.4510384535657
0,262.0,random_sampling,asymmetric,uniform,20,60.0,262.0,False,0.16052631578947368,1.0000000000000002,5.568344503761097
0,527.0,random_sampling,asymmetric,uniform,30,85.0,527.0,False,0.09885057471264368,1.0000000000000002,6.267200548541362
0,244.0,random_sampling,asymmetric,uniform,30,80.0,244.0,False,0.09310344827586207,0.9999999999999999,5.497168225293202
0,270.0,random_sampling,asymmetric,uniform,20,95.0,270.0,False,0.25263157894736843,1.0,5.598421958998375
0,99.0,random_sampling,asymmetric,uniform,20,25.0,99.0,False,0.06842105263157895,1.0,4.59511985013459
0,91.0,random_sampling,asymmetric,uniform,20,50.0,91.0,False,0.13421052631578947,0.9999999999999997,4.51085950651685
0,167.0,random_sampling,asymmetric,uniform,20,30.0,167.0,False,0.08157894736842106,1.0,5.117993812416755
0,371.0,random_sampling,asymmetric,uniform,30,70.0,371.0,False,0.08160919540229886,1.0,5.916202062607435
0,100.0,random_sampling,asymmetric,uniform,20,80.0,100.0,False,0.21052631578947367,0.9999999999999998,4.605170185988092
0,108.0,random_sampling,asymmetric,uniform,20,15.0,108.0,False,0.042105263157894736,1.0,4.68213122712422
0,522.0,random_sampling,asymmetric,uniform,30,35.0,522.0,False,0.041379310344827586,1.0,6.257667587882639
0,30.0,random_sampling,asymmetric,uniform,30,65.0,30.0,False,0.07586206896551724,0.9999999999999999,3.4011973816621555
0,67.0,random_sampling,asymmetric,uniform,30,75.0,67.0,False,0.08735632183908046,1.0,4.204692619390966
0,78.0,random_sampling,asymmetric,uniform,20,45.0,78.0,False,0.12105263157894737,1.0,4.356708826689592
0,80.0,random_sampling,asymmetric,uniform,20,35.0,80.0,False,0.09473684210526316,1.0,4.382026634673881
0,46.0,random_sampling,asymmetric,uniform,20,5.0,46.0,False,0.015789473684210527,1.0,3.828641396489095
0,23.0,random_sampling,asymmetric,uniform,20,85.0,23.0,False,0.22631578947368422,1.0,3.1354942159291497
0,1703.0,random_sampling,asymmetric,uniform,30,55.0,1703.0,False,0.06436781609195402,1.0,7.440146680662688
