generation,iteration,mutation_type,generation_type,distribution,city_size,range,iterations,symmetric,normed_unique_distances,nearest_neighbor_norm,log_iterations
0,55409.0,random_sampling,euclidean,lognormal,20,2.0,55409.0,True,0.11578947368421053,1.0000000000000002,10.922497314414658
0,20458.0,random_sampling,euclidean,lognormal,20,0.8,20458.0,True,0.042105263157894736,1.0,9.926129283016953
0,214908.0,random_sampling,euclidean,lognormal,30,1.2,214908.0,True,0.03908045977011494,1.0,12.277965308554739
1,390248.0,random_sampling,euclidean,lognormal,30,1.2,390248.0,True,0.03908045977011494,0.9999999999999998,12.874537713444623
2,227067.0,random_sampling,euclidean,lognormal,30,1.2,227067.0,True,0.03908045977011494,0.9999999999999999,12.333000407099135
3,2927.0,random_sampling,euclidean,lognormal,30,1.2,2927.0,True,0.04597701149425287,0.9999999999999999,7.9817332866918855
4,8594.0,random_sampling,euclidean,lognormal,30,1.2,8594.0,True,0.03218390804597701,1.0,9.058819564334941
5,56948.0,random_sampling,euclidean,lognormal,30,1.2,56948.0,True,0.05517241379310345,0.9999999999999999,10.949893849733636
6,61567.0,random_sampling,euclidean,lognormal,30,1.2,61567.0,True,0.04597701149425287,1.0,11.02788129168973
7,113146.0,random_sampling,euclidean,lognormal,30,1.2,113146.0,True,0.03908045977011494,0.9999999999999999,11.636434299133231
8,30290541.0,random_sampling,euclidean,lognormal,30,1.2,30290541.0,True,0.034482758620689655,1.0000000000000002,17.226346043524014
9,31083.0,random_sampling,euclidean,lognormal,30,1.2,31083.0,True,0.034482758620689655,0.9999999999999999,10.34441632491986
10,319843.0,random_sampling,euclidean,lognormal,30,1.2,319843.0,True,0.04597701149425287,1.0000000000000002,12.675585529380083
11,220912.0,random_sampling,euclidean,lognormal,30,1.2,220912.0,True,0.06896551724137931,1.0000000000000002,12.305519711155934
12,23313.0,random_sampling,euclidean,lognormal,30,1.2,23313.0,True,0.04367816091954023,1.0,10.056766423877352
13,3766500.0,random_sampling,euclidean,lognormal,30,1.2,3766500.0,True,0.034482758620689655,1.0000000000000002,15.141656746247886
14,79317.0,random_sampling,euclidean,lognormal,30,1.2,79317.0,True,0.041379310344827586,1.0,11.28120776043588
15,245935.0,random_sampling,euclidean,lognormal,30,1.2,245935.0,True,0.05057471264367816,1.0,12.41282255235795
16,142175.0,random_sampling,euclidean,lognormal,30,1.2,142175.0,True,0.041379310344827586,0.9999999999999999,11.864813972175
17,19771.0,random_sampling,euclidean,lognormal,30,1.2,19771.0,True,0.03218390804597701,1.0000000000000002,9.89197149657488
18,86483.0,random_sampling,euclidean,lognormal,30,1.2,86483.0,True,0.0367816091954023,1.0,11.367703141813159
19,7497.0,random_sampling,euclidean,lognormal,30,1.2,7497.0,True,0.04597701149425287,1.0,8.922258219503062
0,50177.0,random_sampling,euclidean,lognormal,20,4.6,50177.0,True,0.11578947368421053,1.0000000000000002,10.823312033358421
0,737004.0,random_sampling,euclidean,lognormal,20,3.2,737004.0,True,0.1631578947368421,0.9999999999999998,13.510348598565157
0,865719.0,random_sampling,euclidean,lognormal,20,2.6,865719.0,True,0.19473684210526315,1.0,13.671315654519912
0,2654.0,random_sampling,euclidean,lognormal,20,1.2,2654.0,True,0.08947368421052632,1.0,7.8838232148921525
0,3667.0,random_sampling,euclidean,lognormal,20,4.2,3667.0,True,0.08947368421052632,0.9999999999999998,8.207129168071326
0,526.0,random_sampling,euclidean,lognormal,30,0.4,526.0,True,0.006896551724137931,1.0000000000000002,6.26530121273771
0,1818.0,random_sampling,euclidean,lognormal,20,1.0,1818.0,True,0.06842105263157895,0.9999999999999998,7.505492274737424
0,64321.0,random_sampling,euclidean,lognormal,30,1.4,64321.0,True,0.04367816091954023,0.9999999999999999,11.071641450995672
0,3481.0,random_sampling,euclidean,lognormal,20,3.4,3481.0,True,0.13157894736842105,1.0,8.15507488781144
0,56641.0,random_sampling,euclidean,lognormal,20,4.8,56641.0,True,0.11578947368421053,0.9999999999999998,10.944488383578978
0,54372.0,random_sampling,euclidean,lognormal,20,2.2,54372.0,True,0.1,1.0000000000000004,10.903604594455139
0,61203.0,random_sampling,euclidean,lognormal,30,1.0,61203.0,True,0.022988505747126436,0.9999999999999999,11.021951486906838
0,24010.0,random_sampling,euclidean,lognormal,20,4.0,24010.0,True,0.17894736842105263,0.9999999999999998,10.086225689215299
0,42882.0,random_sampling,euclidean,lognormal,30,0.8,42882.0,True,0.027586206896551724,1.0,10.666207436448033
0,6191.0,random_sampling,euclidean,lognormal,20,2.8,6191.0,True,0.12631578947368421,1.0,8.730851903519232
1,65198.0,random_sampling,euclidean,lognormal,20,2.8,65198.0,True,0.1736842105263158,1.0,11.085184072597636
2,622704.0,random_sampling,euclidean,lognormal,20,2.8,622704.0,True,0.19473684210526315,1.0000000000000002,13.341826564478904
3,479106.0,random_sampling,euclidean,lognormal,20,2.8,479106.0,True,0.15263157894736842,1.0000000000000002,13.079677146274323
4,18907.0,random_sampling,euclidean,lognormal,20,2.8,18907.0,True,0.14210526315789473,1.0000000000000002,9.847287502847928
5,133883.0,random_sampling,euclidean,lognormal,20,2.8,133883.0,True,0.15263157894736842,1.0000000000000002,11.804721563200886
6,198233.0,random_sampling,euclidean,lognormal,20,2.8,198233.0,True,0.15263157894736842,0.9999999999999998,12.197198385505068
7,4824264.0,random_sampling,euclidean,lognormal,20,2.8,4824264.0,True,0.14210526315789473,1.0000000000000002,15.389168742259885
8,3050.0,random_sampling,euclidean,lognormal,20,2.8,3050.0,True,0.14736842105263157,1.0000000000000002,8.022896869601457
9,6336.0,random_sampling,euclidean,lognormal,20,2.8,6336.0,True,0.16842105263157894,0.9999999999999998,8.754002933494261
10,713134.0,random_sampling,euclidean,lognormal,20,2.8,713134.0,True,0.1,0.9999999999999998,13.477424620027165
11,5249.0,random_sampling,euclidean,lognormal,20,2.8,5249.0,True,0.15789473684210525,1.0,8.5657928612523
12,31091.0,random_sampling,euclidean,lognormal,20,2.8,31091.0,True,0.15789473684210525,0.9999999999999998,10.344673667218705
13,1453.0,random_sampling,euclidean,lognormal,20,2.8,1453.0,True,0.16842105263157894,1.0,7.2813856635702825
