violation_count,total_violation_magnitude,average_violation_magnitude,violation_ratio,generation,iterations,log_iterations,distribution,generation_type,mutation_type,city_size,range
2096,902396254.0,430532.5639312977,0.3064327485380117,0,187.0,5.231108616854587,lognormal,symmetric,random_sampling,20,2.0
1466,42324842.0,28870.969986357435,0.21432748538011695,0,715.0,6.5722825426940075,lognormal,symmetric,random_sampling,20,0.8
6464,511815598.0,79179.3932549505,0.2653530377668309,0,7451.0,8.916103530553727,lognormal,symmetric,random_sampling,30,1.2
2220,424856641576.0,191376865.57477477,0.32456140350877194,0,103.0,4.634728988229636,lognormal,symmetric,random_sampling,20,4.6
7876,4800451011464.0,609503683.527679,0.32331691297208537,0,1141.0,7.039660349862076,lognormal,symmetric,random_sampling,30,4.0
2166,7609249608.0,3513042.293628809,0.31666666666666665,0,480.0,6.173786103901937,lognormal,symmetric,random_sampling,20,3.2
2126,5202595002.0,2447128.4111006586,0.3108187134502924,0,309.0,5.733341276897746,lognormal,symmetric,random_sampling,20,2.6
1780,113137444.0,63560.36179775281,0.260233918128655,0,244.0,5.497168225293202,lognormal,symmetric,random_sampling,20,1.2
2096,1366208772.0,651817.1622137404,0.3064327485380117,0,207.0,5.332718793265369,lognormal,symmetric,random_sampling,20,2.4
7716,33708885454.0,4368699.514515293,0.3167487684729064,0,10927.0,9.298992069570746,lognormal,symmetric,random_sampling,30,3.0
2224,126893964652.0,57056638.7823741,0.32514619883040935,0,508.0,6.230481447578482,lognormal,symmetric,random_sampling,20,4.2
7932,710461235506.0,89568990.8605648,0.32561576354679805,0,3440.0,8.143226750367445,lognormal,symmetric,random_sampling,30,4.2
7798,74418659084.0,9543300.728904847,0.3201149425287356,0,470.0,6.152732694704104,lognormal,symmetric,random_sampling,30,3.4
7554,5359699772.0,709518.1059041567,0.3100985221674877,0,28645.0,10.262734186842678,lognormal,symmetric,random_sampling,30,2.4
7960,825561199862.0,103713718.57562815,0.32676518883415434,0,6053.0,8.708309295891688,lognormal,symmetric,random_sampling,30,4.6
1792,16268018.0,9078.135044642857,0.0735632183908046,0,6374.0,8.759982494977281,lognormal,symmetric,random_sampling,30,0.4
7996,21177055768304.0,2648456199.137569,0.3282430213464696,0,477.0,6.1675164908883415,lognormal,symmetric,random_sampling,30,4.8
6964,816541092.0,117251.73635841471,0.2858784893267652,0,14646.0,9.591922539621015,lognormal,symmetric,random_sampling,30,1.6
7606,13601498792.0,1788259.1101761768,0.3122331691297209,0,2205.0,7.6984827878809465,lognormal,symmetric,random_sampling,30,2.6
1662,66326758.0,39907.79663056559,0.24298245614035088,0,239.0,5.476463551931511,lognormal,symmetric,random_sampling,20,1.0
6546,928856494.0,141896.80629391994,0.2687192118226601,0,5517.0,8.61558951327243,lognormal,symmetric,random_sampling,30,1.4
7258,3282276180.0,452228.7379443373,0.2979474548440066,0,2383.0,7.776115477098742,lognormal,symmetric,random_sampling,30,2.0
2212,19630103858.0,8874368.832730561,0.32339181286549706,0,278.0,5.627621113690637,lognormal,symmetric,random_sampling,20,3.4
2244,286661807804.0,127745903.65597148,0.3280701754385965,0,482.0,6.1779441140506,lognormal,symmetric,random_sampling,20,4.8
2082,932704136.0,447984.69548511045,0.3043859649122807,0,226.0,5.420534999272286,lognormal,symmetric,random_sampling,20,2.2
5710,218449880.0,38257.422066549916,0.2344006568144499,0,7335.0,8.900412690577083,lognormal,symmetric,random_sampling,30,1.0
2206,56689133870.0,25697703.476881232,0.3225146198830409,0,76.0,4.330733340286331,lognormal,symmetric,random_sampling,20,4.0
2220,89396613872.0,40268744.98738739,0.32456140350877194,0,64.0,4.1588830833596715,lognormal,symmetric,random_sampling,20,3.6
4926,111704888.0,22676.59114900528,0.2022167487684729,0,42679.0,10.66146227496313,lognormal,symmetric,random_sampling,30,0.8
2132,4875650764.0,2286890.602251407,0.3116959064327485,0,270.0,5.598421958998375,lognormal,symmetric,random_sampling,20,2.8
102,268406.0,2631.4313725490197,0.0041871921182266006,0,4964.0,8.509967146324497,lognormal,symmetric,random_sampling,30,0.2
7192,1413310540.0,196511.4766407119,0.29523809523809524,0,5133.0,8.543445562560303,lognormal,symmetric,random_sampling,30,1.8
7940,1076379841320.0,135564211.75314862,0.32594417077175697,0,1700.0,7.438383530044307,lognormal,symmetric,random_sampling,30,4.4
22,23182.0,1053.7272727272727,0.003216374269005848,0,1412.0,7.252762418053187,lognormal,symmetric,random_sampling,20,0.2
2226,16377978488.0,7357582.429469901,0.3254385964912281,0,133.0,4.890349128221754,lognormal,symmetric,random_sampling,20,3.8
2236,392161352586.0,175385220.29785332,0.32690058479532164,0,109.0,4.6913478822291435,lognormal,symmetric,random_sampling,20,5.0
7992,154291149128074.0,19305699340.349598,0.32807881773399017,0,1797.0,7.493873886783559,lognormal,symmetric,random_sampling,30,5.0
2064,728416166.0,352914.80910852714,0.3017543859649123,0,131.0,4.875197323201151,lognormal,symmetric,random_sampling,20,1.8
2194,8560282212.0,3901678.3099361896,0.32076023391812863,0,151.0,5.017279836814924,lognormal,symmetric,random_sampling,20,3.0
470,3953004.0,8410.646808510639,0.06871345029239766,0,327.0,5.7899601708972535,lognormal,symmetric,random_sampling,20,0.4
7882,275691975956.0,34977413.848769344,0.3235632183908046,0,1571.0,7.359467638255621,lognormal,symmetric,random_sampling,30,3.8
7844,189627734470.0,24174876.90846507,0.3220032840722496,0,863.0,6.760414691083428,lognormal,symmetric,random_sampling,30,3.6
7782,25319721804.0,3253626.5489591365,0.31945812807881774,0,4230.0,8.349957272040324,lognormal,symmetric,random_sampling,30,3.2
1956,154628880.0,79053.61963190183,0.28596491228070176,0,368.0,5.908082938168931,lognormal,symmetric,random_sampling,20,1.4
7666,9080761830.0,1184550.1995825723,0.314696223316913,0,22021.0,9.999751822506193,lognormal,symmetric,random_sampling,30,2.8
3824,73532108.0,19229.107740585772,0.15697865353037768,0,8043.0,8.99255742690407,lognormal,symmetric,random_sampling,30,0.6
2022,243448294.0,120399.74975272008,0.2956140350877193,0,207.0,5.332718793265369,lognormal,symmetric,random_sampling,20,1.6
7440,3905881794.0,524984.1120967742,0.3054187192118227,0,3291.0,8.098946748943339,lognormal,symmetric,random_sampling,30,2.2
936,11300342.0,12073.014957264957,0.1368421052631579,0,3006.0,8.00836557031292,lognormal,symmetric,random_sampling,20,0.6
2244,39931156154.0,17794632.867201425,0.3280701754385965,0,88.0,4.477336814478207,lognormal,symmetric,random_sampling,20,4.4
2060,915896788.0,444610.09126213595,0.30116959064327486,0,23.0,3.1354942159291497,lognormal,asymmetric,random_sampling,20,2.0
1282,38350210.0,29914.360374414977,0.18742690058479533,0,47.0,3.8501476017100584,lognormal,asymmetric,random_sampling,20,0.8
6375,483533106.0,75848.33035294118,0.2616995073891626,0,953.0,6.859614903654202,lognormal,asymmetric,random_sampling,30,1.2
2212,117329389892.0,53042219.661844485,0.32339181286549706,0,20.0,2.995732273553991,lognormal,asymmetric,random_sampling,20,4.6
7971,189868367383.0,23819893.035127338,0.3272167487684729,0,1912.0,7.555905093611346,lognormal,asymmetric,random_sampling,30,4.0
2178,17368388624.0,7974466.769513315,0.31842105263157894,0,64.0,4.1588830833596715,lognormal,asymmetric,random_sampling,20,3.2
2129,1657145553.0,778368.038046031,0.31125730994152045,0,57.0,4.04305126783455,lognormal,asymmetric,random_sampling,20,2.6
1779,122886969.0,69076.4300168634,0.2600877192982456,0,92.0,4.5217885770490405,lognormal,asymmetric,random_sampling,20,1.2
2109,1718255471.0,814725.2114746325,0.30833333333333335,0,41.0,3.713572066704308,lognormal,asymmetric,random_sampling,20,2.4
7710,16121804762.0,2091025.2609597924,0.31650246305418717,0,204.0,5.318119993844216,lognormal,asymmetric,random_sampling,30,3.0
2214,4391415779043.0,1983475961.6273713,0.3236842105263158,0,119.0,4.77912349311153,lognormal,asymmetric,random_sampling,20,4.2
7800,870519733843.0,111605094.08243589,0.32019704433497537,0,166.0,5.111987788356544,lognormal,asymmetric,random_sampling,30,4.2
7754,86664030187.0,11176686.89540882,0.3183087027914614,0,131.0,4.875197323201151,lognormal,asymmetric,random_sampling,30,3.4
7521,9562545301.0,1271445.9913575323,0.308743842364532,0,199.0,5.293304824724492,lognormal,asymmetric,random_sampling,30,2.4
7950,1266762822506.0,159341235.5353459,0.3263546798029557,0,94.0,4.543294782270004,lognormal,asymmetric,random_sampling,30,4.6
1587,13731178.0,8652.286074354128,0.06514778325123152,0,42.0,3.7376696182833684,lognormal,asymmetric,random_sampling,30,0.4
7965,1713501895799.0,215128926.0262398,0.32697044334975367,0,36.0,3.58351893845611,lognormal,asymmetric,random_sampling,30,4.8
6994,1045794498.0,149527.3803259937,0.28711001642036127,0,1096.0,6.999422467507961,lognormal,asymmetric,random_sampling,30,1.6
7589,8378142918.0,1103985.099222559,0.3115353037766831,0,100.0,4.605170185988092,lognormal,asymmetric,random_sampling,30,2.6
1524,62381045.0,40932.44422572178,0.22280701754385965,0,63.0,4.143134726391533,lognormal,asymmetric,random_sampling,20,1.0
6700,658030863.0,98213.56164179105,0.27504105090311987,0,429.0,6.061456918928017,lognormal,asymmetric,random_sampling,30,1.4
7264,2379614665.0,327590.1245870044,0.29819376026272576,0,540.0,6.29156913955832,lognormal,asymmetric,random_sampling,30,2.0
2184,22260270625.0,10192431.60485348,0.3192982456140351,0,18.0,2.8903717578961645,lognormal,asymmetric,random_sampling,20,3.4
2266,1724186395885.0,760894261.2025596,0.33128654970760235,0,27.0,3.295836866004329,lognormal,asymmetric,random_sampling,20,4.8
2074,2971707771.0,1432838.8481195758,0.30321637426900583,0,148.0,4.997212273764115,lognormal,asymmetric,random_sampling,20,2.2
5778,261236299.0,45212.23589477328,0.237192118226601,0,2810.0,7.940939762327791,lognormal,asymmetric,random_sampling,30,1.0
2231,34642501143.0,15527790.740923353,0.32616959064327483,0,33.0,3.4965075614664802,lognormal,asymmetric,random_sampling,20,4.0
2248,45412202269.0,20201157.59297153,0.3286549707602339,0,28.0,3.332204510175204,lognormal,asymmetric,random_sampling,20,3.6
5027,154795483.0,30792.81539685697,0.20636288998357963,0,1195.0,7.085901464365611,lognormal,asymmetric,random_sampling,30,0.8
2142,9196148342.0,4293253.194211017,0.3131578947368421,0,53.0,3.970291913552122,lognormal,asymmetric,random_sampling,20,2.8
47,107976.0,2297.3617021276596,0.0019293924466338259,0,1324.0,7.188412736496954,lognormal,asymmetric,random_sampling,30,0.2
7196,2568658985.0,356956.501528627,0.29540229885057473,0,630.0,6.4457198193855785,lognormal,asymmetric,random_sampling,30,1.8
7953,7148301087717.0,898818192.8476046,0.32647783251231527,0,282.0,5.641907070938114,lognormal,asymmetric,random_sampling,30,4.4
15,24882.0,1658.8,0.0021929824561403508,0,90.0,4.499809670330265,lognormal,asymmetric,random_sampling,20,0.2
2222,29356007889.0,13211524.702520251,0.3248538011695906,0,90.0,4.499809670330265,lognormal,asymmetric,random_sampling,20,3.8
2229,2084740105416.0,935280442.088829,0.32587719298245615,0,122.0,4.804021044733257,lognormal,asymmetric,random_sampling,20,5.0
7988,13559035139721.0,1697425530.761267,0.3279146141215107,0,72.0,4.276666119016055,lognormal,asymmetric,random_sampling,30,5.0
2002,355437496.0,177541.2067932068,0.29269005847953217,0,51.0,3.9318256327243257,lognormal,asymmetric,random_sampling,20,1.8
2186,3665128448.0,1676636.9844464776,0.3195906432748538,0,102.0,4.624972813284271,lognormal,asymmetric,random_sampling,20,3.0
523,4524551.0,8651.14913957935,0.07646198830409356,0,118.0,4.770684624465665,lognormal,asymmetric,random_sampling,20,0.4
7878,108844339489.0,13816240.097613607,0.3233990147783251,0,161.0,5.081404364984463,lognormal,asymmetric,random_sampling,30,3.8
7867,145285622082.0,18467728.750730902,0.32294745484400655,0,274.0,5.6131281063880705,lognormal,asymmetric,random_sampling,30,3.6
7766,82401007008.0,10610482.488797322,0.31880131362889985,0,743.0,6.610696044717759,lognormal,asymmetric,random_sampling,30,3.2
1896,208701752.0,110074.76371308017,0.2771929824561403,0,43.0,3.7612001156935624,lognormal,asymmetric,random_sampling,20,1.4
7630,18157309007.0,2379725.9511140236,0.3132183908045977,0,1182.0,7.074963197966044,lognormal,asymmetric,random_sampling,30,2.8
3713,67060233.0,18060.92997576084,0.15242200328407224,0,217.0,5.37989735354046,lognormal,asymmetric,random_sampling,30,0.6
1920,407990386.0,212494.99270833333,0.2807017543859649,0,69.0,4.23410650459726,lognormal,asymmetric,random_sampling,20,1.6
7510,4679001472.0,623036.148069241,0.30829228243021345,0,251.0,5.5254529391317835,lognormal,asymmetric,random_sampling,30,2.2
1022,20022784.0,19591.76516634051,0.14941520467836258,0,61.0,4.110873864173311,lognormal,asymmetric,random_sampling,20,0.6
2217,50397261129.0,22732188.15020298,0.32412280701754387,0,18.0,2.8903717578961645,lognormal,asymmetric,random_sampling,20,4.4
0,0.0,0.0,0.0,0,55409.0,10.922497314414658,lognormal,euclidean,random_sampling,20,2.0
0,0.0,0.0,0.0,0,20458.0,9.926129283016953,lognormal,euclidean,random_sampling,20,0.8
0,0.0,0.0,0.0,0,214908.0,12.277965308554739,lognormal,euclidean,random_sampling,30,1.2
0,0.0,0.0,0.0,1,390248.0,12.874537713444623,lognormal,euclidean,random_sampling,30,1.2
0,0.0,0.0,0.0,2,227067.0,12.333000407099135,lognormal,euclidean,random_sampling,30,1.2
0,0.0,0.0,0.0,3,2927.0,7.9817332866918855,lognormal,euclidean,random_sampling,30,1.2
0,0.0,0.0,0.0,4,8594.0,9.058819564334941,lognormal,euclidean,random_sampling,30,1.2
0,0.0,0.0,0.0,5,56948.0,10.949893849733636,lognormal,euclidean,random_sampling,30,1.2
0,0.0,0.0,0.0,6,61567.0,11.02788129168973,lognormal,euclidean,random_sampling,30,1.2
0,0.0,0.0,0.0,7,113146.0,11.636434299133231,lognormal,euclidean,random_sampling,30,1.2
0,0.0,0.0,0.0,8,30290541.0,17.226346043524014,lognormal,euclidean,random_sampling,30,1.2
0,0.0,0.0,0.0,9,31083.0,10.34441632491986,lognormal,euclidean,random_sampling,30,1.2
0,0.0,0.0,0.0,10,319843.0,12.675585529380083,lognormal,euclidean,random_sampling,30,1.2
0,0.0,0.0,0.0,11,220912.0,12.305519711155934,lognormal,euclidean,random_sampling,30,1.2
0,0.0,0.0,0.0,12,23313.0,10.056766423877352,lognormal,euclidean,random_sampling,30,1.2
0,0.0,0.0,0.0,13,3766500.0,15.141656746247886,lognormal,euclidean,random_sampling,30,1.2
0,0.0,0.0,0.0,14,79317.0,11.28120776043588,lognormal,euclidean,random_sampling,30,1.2
0,0.0,0.0,0.0,15,245935.0,12.41282255235795,lognormal,euclidean,random_sampling,30,1.2
0,0.0,0.0,0.0,16,142175.0,11.864813972175,lognormal,euclidean,random_sampling,30,1.2
0,0.0,0.0,0.0,17,19771.0,9.89197149657488,lognormal,euclidean,random_sampling,30,1.2
0,0.0,0.0,0.0,18,86483.0,11.367703141813159,lognormal,euclidean,random_sampling,30,1.2
0,0.0,0.0,0.0,19,7497.0,8.922258219503062,lognormal,euclidean,random_sampling,30,1.2
0,0.0,0.0,0.0,0,50177.0,10.823312033358421,lognormal,euclidean,random_sampling,20,4.6
0,0.0,0.0,0.0,0,737004.0,13.510348598565157,lognormal,euclidean,random_sampling,20,3.2
0,0.0,0.0,0.0,0,865719.0,13.671315654519912,lognormal,euclidean,random_sampling,20,2.6
0,0.0,0.0,0.0,0,2654.0,7.8838232148921525,lognormal,euclidean,random_sampling,20,1.2
0,0.0,0.0,0.0,0,3667.0,8.207129168071326,lognormal,euclidean,random_sampling,20,4.2
0,0.0,0.0,0.0,0,526.0,6.26530121273771,lognormal,euclidean,random_sampling,30,0.4
0,0.0,0.0,0.0,0,1818.0,7.505492274737424,lognormal,euclidean,random_sampling,20,1.0
0,0.0,0.0,0.0,0,64321.0,11.071641450995672,lognormal,euclidean,random_sampling,30,1.4
0,0.0,0.0,0.0,0,3481.0,8.15507488781144,lognormal,euclidean,random_sampling,20,3.4
0,0.0,0.0,0.0,0,56641.0,10.944488383578978,lognormal,euclidean,random_sampling,20,4.8
0,0.0,0.0,0.0,0,54372.0,10.903604594455139,lognormal,euclidean,random_sampling,20,2.2
0,0.0,0.0,0.0,0,61203.0,11.021951486906838,lognormal,euclidean,random_sampling,30,1.0
0,0.0,0.0,0.0,0,24010.0,10.086225689215299,lognormal,euclidean,random_sampling,20,4.0
0,0.0,0.0,0.0,0,42882.0,10.666207436448033,lognormal,euclidean,random_sampling,30,0.8
0,0.0,0.0,0.0,0,6191.0,8.730851903519232,lognormal,euclidean,random_sampling,20,2.8
0,0.0,0.0,0.0,1,65198.0,11.085184072597636,lognormal,euclidean,random_sampling,20,2.8
0,0.0,0.0,0.0,2,622704.0,13.341826564478904,lognormal,euclidean,random_sampling,20,2.8
0,0.0,0.0,0.0,3,479106.0,13.079677146274323,lognormal,euclidean,random_sampling,20,2.8
0,0.0,0.0,0.0,4,18907.0,9.847287502847928,lognormal,euclidean,random_sampling,20,2.8
0,0.0,0.0,0.0,5,133883.0,11.804721563200886,lognormal,euclidean,random_sampling,20,2.8
0,0.0,0.0,0.0,6,198233.0,12.197198385505068,lognormal,euclidean,random_sampling,20,2.8
0,0.0,0.0,0.0,7,4824264.0,15.389168742259885,lognormal,euclidean,random_sampling,20,2.8
0,0.0,0.0,0.0,8,3050.0,8.022896869601457,lognormal,euclidean,random_sampling,20,2.8
0,0.0,0.0,0.0,9,6336.0,8.754002933494261,lognormal,euclidean,random_sampling,20,2.8
0,0.0,0.0,0.0,10,713134.0,13.477424620027165,lognormal,euclidean,random_sampling,20,2.8
0,0.0,0.0,0.0,11,5249.0,8.5657928612523,lognormal,euclidean,random_sampling,20,2.8
0,0.0,0.0,0.0,12,31091.0,10.344673667218705,lognormal,euclidean,random_sampling,20,2.8
0,0.0,0.0,0.0,13,1453.0,7.2813856635702825,lognormal,euclidean,random_sampling,20,2.8
0,0.0,0.0,0.0,14,12992.0,9.472089062401459,lognormal,euclidean,random_sampling,20,2.8
0,0.0,0.0,0.0,15,9029.0,9.10819689830748,lognormal,euclidean,random_sampling,20,2.8
0,0.0,0.0,0.0,16,87527.0,11.379702596175905,lognormal,euclidean,random_sampling,20,2.8
0,0.0,0.0,0.0,17,6191.0,8.730851903519232,lognormal,euclidean,random_sampling,20,2.8
0,0.0,0.0,0.0,18,65198.0,11.085184072597636,lognormal,euclidean,random_sampling,20,2.8
0,0.0,0.0,0.0,19,622704.0,13.341826564478904,lognormal,euclidean,random_sampling,20,2.8
