config,final_hardness,hardness_improvement,trajectory_length,plateau_ratio,improvement_rate,volatility
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 20, 'range': 0.2}",1776,1758,70,0.0,"{'slope': 3.719014497854086, 'r_squared': 0.9865363789056285}",34.808215212084455
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 20, 'range': 0.4}",2841,2787,103,0.0,"{'slope': 2.3550219351158144, 'r_squared': 0.8959318042853779}",55.537862330568096
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 20, 'range': 0.6}",1292,1154,66,0.0,"{'slope': 2.6070584827173104, 'r_squared': 0.9195111412379368}",29.386564574900433
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 20, 'range': 0.8}",1973,1903,110,0.0,"{'slope': 1.9811144684710926, 'r_squared': 0.9733715501050468}",28.69406233054508
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 20, 'range': 1.0}",5240,5173,109,0.0,"{'slope': 4.852271701636883, 'r_squared': 0.9527261677360779}",109.64360951593011
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 20, 'range': 1.2}",16417,16396,153,0.0,"{'slope': 14.918050685253098, 'r_squared': 0.8952830913506512}",234.92030239307607
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 20, 'range': 1.4}",12870,12640,127,0.0,"{'slope': 12.849447816114726, 'r_squared': 0.9403666512250951}",323.91106095566266
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 20, 'range': 1.6}",6018,5962,152,0.0,"{'slope': 5.714248860312961, 'r_squared': 0.9860431461591177}",73.78973656666595
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 20, 'range': 1.8}",1124,1028,78,0.0,"{'slope': 0.8941458720523227, 'r_squared': 0.9656403692598702}",19.6103380062966
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 20, 'range': 2.0}",2852,2820,109,0.0,"{'slope': 3.306872968527436, 'r_squared': 0.9779504209455904}",52.026049980209045
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 20, 'range': 2.2}",908,877,70,0.0,"{'slope': 0.9342337108585074, 'r_squared': 0.7533470446976935}",21.525920639993217
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 20, 'range': 2.4}",4197,4168,97,0.0,"{'slope': 3.8853636862686036, 'r_squared': 0.8498225790117282}",87.8770052718887
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 20, 'range': 2.6}",4847,4805,104,0.0,"{'slope': 5.152654965886131, 'r_squared': 0.9789625032184679}",75.50550789886339
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 20, 'range': 2.8}",1406,1374,91,0.0,"{'slope': 1.6652202162310337, 'r_squared': 0.9783538598977135}",22.54171441769434
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 20, 'range': 3.0}",642,614,73,0.0,"{'slope': 0.6297468119946568, 'r_squared': 0.9765083764810196}",14.316824040871772
