symmetric_ratio,mean_asymmetry,max_asymmetry,instance_type,mutation_type,city_size,distribution,generation_type,range,iteration,generation,optimal_cost
0.0,109670.6,5155306.0,initial,swap,30,lognormal,asymmetric,1.6,277,0,
0.0,109670.6,5155306.0,hardest,swap,30,lognormal,asymmetric,1.6,0,0,
0.0,109670.6,5155306.0,hardest,swap,30,lognormal,asymmetric,1.6,277,1,54453.0
0.0,109638.1816091954,5155306.0,hardest,swap,30,lognormal,asymmetric,1.6,287,5,54453.0
0.0,109623.99770114942,5155306.0,hardest,swap,30,lognormal,asymmetric,1.6,643,8,56365.0
0.0,109647.39540229885,5155306.0,hardest,swap,30,lognormal,asymmetric,1.6,644,9,56365.0
0.0,109769.28965517241,5155306.0,hardest,swap,30,lognormal,asymmetric,1.6,646,10,56365.0
0.0,109748.2183908046,5155306.0,hardest,swap,30,lognormal,asymmetric,1.6,699,23,56365.0
0.0,109576.01149425287,5155306.0,hardest,swap,30,lognormal,asymmetric,1.6,714,30,56365.0
0.0,109656.32413793103,5155306.0,hardest,swap,30,lognormal,asymmetric,1.6,715,32,56365.0
0.0,109583.25747126437,5155306.0,hardest,swap,30,lognormal,asymmetric,1.6,1284,35,55818.0
0.0,109623.88735632184,5155306.0,hardest,swap,30,lognormal,asymmetric,1.6,1618,36,56240.0
0.0,109623.88735632184,5155306.0,hardest,swap,30,lognormal,asymmetric,1.6,1715,37,56240.0
0.0,109638.63218390805,5155306.0,hardest,swap,30,lognormal,asymmetric,1.6,1717,45,56240.0
0.0,109638.63218390805,5155306.0,hardest,swap,30,lognormal,asymmetric,1.6,1762,60,56240.0
0.0,110490.89425287356,5155306.0,hardest,swap,30,lognormal,asymmetric,1.6,1763,65,56240.0
0.0,110490.89425287356,5155306.0,hardest,swap,30,lognormal,asymmetric,1.6,1765,70,56240.0
0.0,192484.56091954024,5370285.0,initial,inplace,30,lognormal,asymmetric,1.8,705,0,
0.0,192484.56091954024,5370285.0,hardest,inplace,30,lognormal,asymmetric,1.8,0,0,
0.0,192484.56091954024,5370285.0,hardest,inplace,30,lognormal,asymmetric,1.8,705,1,46635.0
0.0,192601.89195402298,5370285.0,hardest,inplace,30,lognormal,asymmetric,1.8,733,4,46635.0
0.0,192458.41609195402,5370285.0,hardest,inplace,30,lognormal,asymmetric,1.8,831,7,46635.0
0.0,192504.34252873564,5370285.0,hardest,inplace,30,lognormal,asymmetric,1.8,860,12,46635.0
0.0,192515.15632183908,5370285.0,hardest,inplace,30,lognormal,asymmetric,1.8,1094,17,46635.0
0.0,192525.90344827587,5370285.0,hardest,inplace,30,lognormal,asymmetric,1.8,1095,25,46635.0
0.0,192877.9816091954,5370285.0,hardest,inplace,30,lognormal,asymmetric,1.8,1112,40,46635.0
0.0,192860.24827586208,5370285.0,hardest,inplace,30,lognormal,asymmetric,1.8,1137,41,46635.0
0.0,192832.62068965516,5370285.0,hardest,inplace,30,lognormal,asymmetric,1.8,1374,43,46773.0
0.0,193274.2068965517,5370285.0,hardest,inplace,30,lognormal,asymmetric,1.8,1392,51,46773.0
1.0,0.0,0.0,initial,swap,20,lognormal,euclidean,4.8,0,0,
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,4.8,0,0,
1.0,0.0,0.0,initial,inplace,30,lognormal,euclidean,3.8,0,0,
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,3.8,0,0,
1.0,0.0,0.0,initial,swap,30,lognormal,euclidean,4.8,2664870,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,4.8,0,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,4.8,2664870,1,449.0
1.0,0.0,0.0,initial,inplace,30,lognormal,euclidean,4.6,0,0,
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,4.6,0,0,
1.0,0.0,0.0,initial,swap,30,lognormal,euclidean,2.0,0,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,2.0,0,0,
1.0,0.0,0.0,initial,inplace,20,lognormal,euclidean,4.0,298297,0,
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,4.0,0,0,
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,4.0,298297,1,296.0
