size,range,mutations,continuation,tsp type,distribution,mutation strategy
20,[5],100,,euclidean,uniform,swap
30,[5],100,,euclidean,uniform,swap
30,[10],90,,euclidean,uniform,swap
30,[15],90,,euclidean,uniform,swap
30,[25],95,,euclidean,uniform,swap
20,[0.2],95,,euclidean,lognormal,wouter
20,[0.4],73,,euclidean,lognormal,wouter
20,[2.6],82,,euclidean,lognormal,wouter
20,[2.8],93,,euclidean,lognormal,wouter
20,[3.0],100,,euclidean,lognormal,wouter
20,[3.2],76,,euclidean,lognormal,wouter
20,[3.4],100,,euclidean,lognormal,wouter
20,[3.6],99,,euclidean,lognormal,wouter
20,[3.8],97,,euclidean,lognormal,wouter
20,[4.0],93,,euclidean,lognormal,wouter
20,[4.2],97,,euclidean,lognormal,wouter
20,[4.4],99,,euclidean,lognormal,wouter
20,[4.6],100,,euclidean,lognormal,wouter
20,[4.8],97,,euclidean,lognormal,wouter
20,[5.0],97,,euclidean,lognormal,wouter
30,[0.2],100,,euclidean,lognormal,wouter
30,[0.4],82,,euclidean,lognormal,wouter
30,[0.6],99,,euclidean,lognormal,wouter
30,[0.8],43,,euclidean,lognormal,wouter
30,[1.0],93,,euclidean,lognormal,wouter
30,[1.2],100,,euclidean,lognormal,wouter
30,[1.4],71,,euclidean,lognormal,wouter
30,[1.6],99,,euclidean,lognormal,wouter
30,[1.8],96,,euclidean,lognormal,wouter
30,[2.0],100,,euclidean,lognormal,wouter
30,[2.2],100,,euclidean,lognormal,wouter
30,[2.4],100,,euclidean,lognormal,wouter
30,[2.6],100,,euclidean,lognormal,wouter
30,[2.8],99,,euclidean,lognormal,wouter
30,[3.0],100,,euclidean,lognormal,wouter
30,[3.2],100,,euclidean,lognormal,wouter
30,[3.4],100,,euclidean,lognormal,wouter
30,[3.6],100,,euclidean,lognormal,wouter
30,[3.8],100,,euclidean,lognormal,wouter
30,[4.0],100,,euclidean,lognormal,wouter
30,[4.2],100,,euclidean,lognormal,wouter
30,[4.4],100,,euclidean,lognormal,wouter
30,[4.6],100,,euclidean,lognormal,wouter
30,[4.8],100,,euclidean,lognormal,wouter
30,[5.0],100,,euclidean,lognormal,wouter
