size,range,mutations,continuation,tsp type,distribution,mutation strategy
20,[4.2],74,,euclidean,lognormal,swap
20,[4.6],76,,euclidean,lognormal,swap
20,[4.8],58,,euclidean,lognormal,swap
30,[4.4],99,,euclidean,lognormal,swap
30,[1.8],78,,euclidean,lognormal,swap
30,[2.6],99,,euclidean,lognormal,swap
30,[2.8],95,,euclidean,lognormal,swap
30,[0.6],28,,euclidean,lognormal,swap
20,[2.8],5,,euclidean,lognormal,swap
20,[5.0],62,,euclidean,lognormal,swap
20,[0.2],29,,euclidean,lognormal,swap
20,[4.0],74,,euclidean,lognormal,swap
30,[1.6],45,,euclidean,lognormal,swap
30,[2.2],98,,euclidean,lognormal,swap
30,[2.0],93,,euclidean,lognormal,swap
20,[3.4],68,,euclidean,lognormal,swap
20,[3.8],64,,euclidean,lognormal,swap
30,[5.0],96,,euclidean,lognormal,swap
20,[4.4],4,,euclidean,lognormal,swap
30,[10],8,,euclidean,uniform,swap
30,[25],26,,euclidean,lognormal,swap
20,[4.2],74,,euclidean,lognormal,wouter
20,[4.6],76,,euclidean,lognormal,wouter
20,[4.8],58,,euclidean,lognormal,wouter
30,[4.4],99,,euclidean,lognormal,wouter
30,[1.8],78,,euclidean,lognormal,wouter
30,[2.6],99,,euclidean,lognormal,wouter
30,[2.8],95,,euclidean,lognormal,wouter
30,[0.6],28,,euclidean,lognormal,wouter
20,[2.8],5,,euclidean,lognormal,wouter
20,[5.0],62,,euclidean,lognormal,wouter
20,[0.2],29,,euclidean,lognormal,wouter
20,[4.0],74,,euclidean,lognormal,wouter
30,[1.6],45,,euclidean,lognormal,wouter
30,[2.2],98,,euclidean,lognormal,wouter
30,[2.0],93,,euclidean,lognormal,wouter
20,[3.4],68,,euclidean,lognormal,wouter
20,[3.8],64,,euclidean,lognormal,wouter
30,[5.0],96,,euclidean,lognormal,wouter
20,[4.4],4,,euclidean,lognormal,wouter
30,[10],8,,euclidean,uniform,wouter
30,[25],26,,euclidean,lognormal,wouter
20,[4.2],74,,euclidean,lognormal,scramble
20,[4.6],76,,euclidean,lognormal,scramble
20,[4.8],58,,euclidean,lognormal,scramble
30,[4.4],99,,euclidean,lognormal,scramble
30,[1.8],78,,euclidean,lognormal,scramble
30,[2.6],99,,euclidean,lognormal,scramble
30,[2.8],95,,euclidean,lognormal,scramble
30,[0.6],28,,euclidean,lognormal,scramble
20,[2.8],5,,euclidean,lognormal,scramble
20,[5.0],62,,euclidean,lognormal,scramble
20,[0.2],29,,euclidean,lognormal,scramble
20,[4.0],74,,euclidean,lognormal,scramble
30,[1.6],45,,euclidean,lognormal,scramble
30,[2.2],98,,euclidean,lognormal,scramble
30,[2.0],93,,euclidean,lognormal,scramble
20,[3.4],68,,euclidean,lognormal,scramble
20,[3.8],64,,euclidean,lognormal,scramble
30,[5.0],96,,euclidean,lognormal,scramble
20,[4.4],4,,euclidean,lognormal,scramble
30,[10],8,,euclidean,uniform,scramble
30,[25],26,,euclidean,lognormal,scramble
