size,range,mutations,continuation,tsp type,distribution,mutation strategy
20,[4.2],96,,euclidean,lognormal,inplace
20,[4.6],94,,euclidean,lognormal,inplace
20,[4.8],94,,euclidean,lognormal,inplace
20,[45],55,,euclidean,uniform,inplace
30,[4.4],99,,euclidean,lognormal,inplace
30,[1.8],82,,euclidean,lognormal,inplace
30,[2.6],99,,euclidean,lognormal,inplace
20,[3.6],96,,euclidean,lognormal,inplace
30,[2.8],95,,euclidean,lognormal,inplace
30,[0.6],51,,euclidean,lognormal,inplace
20,[2.8],78,,euclidean,lognormal,inplace
30,[5.0],97,,euclidean,lognormal,inplace
20,[0.2],55,,euclidean,lognormal,inplace
20,[4.0],90,,euclidean,lognormal,inplace
30,[1.6],71,,euclidean,lognormal,inplace
30,[1.6],31,,euclidean,lognormal,inplace
30,[10],31,,euclidean,uniform,inplace
30,[25],68,,euclidean,uniform,inplace
20,[5.0],80,,euclidean,lognormal,inplace
30,[4.4],14,,euclidean,lognormal,inplace
30,[3.4],99,,euclidean,lognormal,inplace
30,[15],4,,euclidean,uniform,inplace
20,[2.0],5,,euclidean,lognormal,inplace
30,[2.2],99,,euclidean,lognormal,inplace
20,[3.8],94,,euclidean,lognormal,inplace
30,[2.0],96,,euclidean,lognormal,inplace
