size,range,mutations,continuation,tsp type,distribution,mutation strategy
30,"[0.2]",100,,euclidean,lognormal,scramble
30,"[0.4]",100,,euclidean,lognormal,scramble
30,"[0,6]",100,,euclidean,lognormal,scramble
30,"[0.8]",100,,euclidean,lognormal,scramble
30,"[1.0]",100,,euclidean,lognormal,scramble
30,"[1.2]",100,,euclidean,lognormal,scramble
30,"[1.4]",100,,euclidean,lognormal,scramble
30,"[1.6]",100,,euclidean,lognormal,scramble
30,"[1.8]",100,,euclidean,lognormal,scramble
30,"[2.0]",100,,euclidean,lognormal,scramble
30,"[2.2]",100,,euclidean,lognormal,scramble
30,"[2.4]",100,,euclidean,lognormal,scramble
30,"[2.6]",100,,euclidean,lognormal,scramble
30,"[2.8]",100,,euclidean,lognormal,scramble
30,"[3.0]",100,,euclidean,lognormal,scramble
30,"[3.2]",100,,euclidean,lognormal,scramble
30,"[3.4]",100,,euclidean,lognormal,scramble
20,"[0.2]",100,,euclidean,lognormal,scramble
20,"[0.4]",100,,euclidean,lognormal,scramble
20,"[0,6]",100,,euclidean,lognormal,scramble
20,"[0.8]",100,,euclidean,lognormal,scramble
20,"[1.0]",100,,euclidean,lognormal,scramble
20,"[1.2]",100,,euclidean,lognormal, scramble
20,"[1.4,1.6]",100,,euclidean,lognormal,scramble
20,"[1.8,2.0,2.2]",100,,euclidean,lognormal,scramble
20,"[2.2,2.4]",100,,euclidean,lognormal,scramble
20,"[2.6,2.8,3.0]",100,,euclidean,lognormal,scramble
20,"[3.2,3.4]",100,,euclidean,lognormal,scramble
30,"[5,10,15,20,25]",100,,euclidean,uniform,scramble
30,"[30,35,40,45,50]",100,,euclidean,uniform,scramble
30,"[55,60,65,70,75]",100,,euclidean,uniform,scramble
30,"[80,85,90,95,100]",100,,euclidean,uniform,scramble
