,size,range,mutations,continuation,tsp type,distribution,mutation strategy
0,30,[20],1000,,asymmetric,uniform,swap
0,30,[80],1000,,asymmetric,uniform,swap
1,20,[10],1000,,euclidean,uniform,wouter
1,20,[15],1000,,euclidean,uniform,wouter
1,20,[20],1000,,euclidean,uniform,wouter
1,20,[25],1000,,euclidean,uniform,wouter
1,20,[30],1000,,euclidean,uniform,wouter
1,20,[35],1000,,euclidean,uniform,wouter
1,20,[40],1000,,euclidean,uniform,wouter
2,30,[10],1000,,euclidean,uniform,wouter
2,30,[15],1000,,euclidean,uniform,wouter
2,30,[20],1000,,euclidean,uniform,wouter
2,30,[25],1000,,euclidean,uniform,wouter
2,30,[30],1000,,euclidean,uniform,wouter
2,30,[35],1000,,euclidean,uniform,wouter
2,30,[40],1000,,euclidean,uniform,wouter
2,30,[50],1000,,euclidean,uniform,wouter
2,30,[55],1000,,euclidean,uniform,wouter
2,30,[60],1000,,euclidean,uniform,wouter
2,30,[65],1000,,euclidean,uniform,wouter
2,30,[70],1000,,euclidean,uniform,wouter
2,30,[75],1000,,euclidean,uniform,wouter
2,30,[80],1000,,euclidean,uniform,wouter
2,30,[85],1000,,euclidean,uniform,wouter
2,30,[90],1000,,euclidean,uniform,wouter
2,30,[95],1000,,euclidean,uniform,wouter
2,30,[100],1000,,euclidean,uniform,wouter
3,20,[10],1000,,euclidean,uniform,swap
3,20,[15],1000,,euclidean,uniform,swap
3,20,[20],1000,,euclidean,uniform,swap
3,20,[25],1000,,euclidean,uniform,swap
3,20,[30],1000,,euclidean,uniform,swap
3,20,[35],1000,,euclidean,uniform,swap
3,20,[40],1000,,euclidean,uniform,swap
3,20,[60],1000,,euclidean,uniform,swap
4,30,[10],1000,,euclidean,uniform,swap
4,30,[15],1000,,euclidean,uniform,swap
4,30,[20],1000,,euclidean,uniform,swap
4,30,[30],1000,,euclidean,uniform,swap
4,30,[35],1000,,euclidean,uniform,swap
4,30,[40],1000,,euclidean,uniform,swap
4,30,[45],1000,,euclidean,uniform,swap
4,30,[50],1000,,euclidean,uniform,swap
4,30,[55],1000,,euclidean,uniform,swap
4,30,[60],1000,,euclidean,uniform,swap
4,30,[65],1000,,euclidean,uniform,swap
4,30,[70],1000,,euclidean,uniform,swap
4,30,[75],1000,,euclidean,uniform,swap
4,30,[80],1000,,euclidean,uniform,swap
4,30,[90],1000,,euclidean,uniform,swap
4,30,[95],1000,,euclidean,uniform,swap
4,30,[100],1000,,euclidean,uniform,swap
5,30,[10],1000,,euclidean,uniform,scramble
5,30,[15],1000,,euclidean,uniform,scramble
5,30,[20],1000,,euclidean,uniform,scramble
5,30,[25],1000,,euclidean,uniform,scramble
5,30,[30],1000,,euclidean,uniform,scramble
5,30,[35],1000,,euclidean,uniform,scramble
5,30,[40],1000,,euclidean,uniform,scramble
5,30,[100],1000,,euclidean,uniform,scramble
6,30,[0.2],1000,,asymmetric,lognormal ,wouter
6,30,[1.0],1000,,asymmetric,lognormal ,wouter
6,30,[1.6],1000,,asymmetric,lognormal ,wouter
6,30,[4.0],1000,,asymmetric,lognormal ,wouter
7,30,[1.0],1000,,asymmetric,lognormal ,swap
7,30,[1.4],1000,,asymmetric,lognormal ,swap
7,30,[1.6],1000,,asymmetric,lognormal ,swap
7,30,[1.8],1000,,asymmetric,lognormal ,swap
7,30,[2.0],1000,,asymmetric,lognormal ,swap
7,30,[2.8],1000,,asymmetric,lognormal ,swap
7,30,[3.0],1000,,asymmetric,lognormal ,swap
7,30,[5.0],1000,,asymmetric,lognormal ,swap
8,20,[0.2],1000,,euclidean,lognormal ,wouter
