mutation_type,generation_type,distribution,city_size,range,mean,median,std,count,max,min
wouter,euclidean,lognormal,30.0,1.6,1904820.8,2214260.0,1085023.333600112,5,2588053,0
wouter,euclidean,lognormal,30.0,0.2,830525.4761904762,780726.0,302162.6833796025,21,1220428,0
swap,euclidean,lognormal,30.0,0.2,299710.4285714286,284262.5,157193.57602440583,14,532318,0
swap,euclidean,uniform,30.0,5.0,327531.7,249695.5,214026.27445715756,20,559555,0
swap,euclidean,uniform,30.0,55.0,225801.1052631579,209946.0,132910.26965970555,38,441381,0
scramble,euclidean,lognormal,30.0,0.6,199936.0,199936.0,282752.20280662715,2,399872,0
scramble,euclidean,lognormal,30.0,0.2,171230.5,171230.5,242156.49539192626,2,342461,0
wouter,euclidean,uniform,30.0,10.0,114001.97916666667,143792.0,60962.51235765307,48,173866,0
wouter,euclidean,uniform,30.0,60.0,125398.51612903226,120959.0,42652.73078703634,31,200956,0
scramble,euclidean,uniform,30.0,15.0,107820.5,90300.5,109617.55762802478,4,250681,0
scramble,euclidean,uniform,30.0,5.0,121432.77777777778,62806.0,169822.57692204663,9,554912,0
wouter,euclidean,lognormal,20.0,2.2,43135.3,44142.0,16347.767928170908,10,59550,0
swap,asymmetric,lognormal,30.0,0.6,28174.29655172414,32925.0,12789.090687489674,145,44476,0
wouter,asymmetric,uniform,30.0,30.0,33734.82258064516,30310.5,19863.786440168555,124,71324,0
scramble,euclidean,uniform,30.0,60.0,40362.4,29498.0,33863.78199197485,5,83324,0
swap,euclidean,lognormal,20.0,2.0,25202.071428571428,26252.0,9867.311889140954,14,41759,0
swap,asymmetric,uniform,30.0,55.0,27086.11409395973,25568.0,19420.133906325093,149,56906,0
swap,euclidean,lognormal,20.0,1.2,37696.642857142855,25422.5,31114.37663897299,14,115117,0
wouter,asymmetric,lognormal,30.0,1.6,23978.02142857143,24806.5,16063.609846534988,140,53530,0
wouter,euclidean,lognormal,20.0,0.8,22266.175,23698.0,9129.544454295008,40,33949,0
wouter,asymmetric,lognormal,30.0,0.2,24479.564356435643,22008.0,17087.184490408905,202,52537,0
swap,euclidean,lognormal,20.0,1.0,21087.428571428572,20835.0,16263.393996509902,7,41209,0
swap,euclidean,uniform,20.0,70.0,22599.590909090908,20744.5,18362.967027699382,132,62325,0
swap,asymmetric,lognormal,30.0,2.2,19611.180555555555,19199.5,10757.105221275307,72,37205,0
