Comparison,p-value,Adj. p-value,Effect Size (rank-biserial)
swap-asymmetric-lognormal vs wouter-asymmetric-lognormal,0.6338874055620717,1.0,-0.006329037638138413
swap-asymmetric-lognormal vs wouter-euclidean-lognormal,1.6875693565035044e-67,1.113795775292313e-65,0.5652619854198313
swap-asymmetric-lognormal vs scramble-euclidean-lognormal,0.7364508384878046,1.0,-0.028838955761255836
swap-asymmetric-lognormal vs swap-euclidean-lognormal,1.540778566226729e-16,1.0169138537096411e-14,0.37818615264556454
swap-asymmetric-lognormal vs wouter-euclidean-uniform,1.1593811346228309e-150,7.651915488510684e-149,0.5098234651480139
swap-asymmetric-lognormal vs scramble-euclidean-uniform,0.014145520877816915,0.9336043779359163,0.10759710363427222
swap-asymmetric-lognormal vs swap-euclidean-uniform,1.3423273256039213e-159,8.85936034898588e-158,0.6275520704509948
swap-asymmetric-lognormal vs wouter-asymmetric-uniform,2.1460432618809064e-05,0.0014163885528413983,0.05923827949275284
swap-asymmetric-lognormal vs swap-asymmetric-uniform,0.20645631224969707,1.0,-0.01876378765485831
swap-asymmetric-lognormal vs scramble-asymmetric-lognormal,9.77908948723045e-62,6.454199061572097e-60,-0.505870415104263
swap-asymmetric-lognormal vs scramble-asymmetric-uniform,3.3875293480646503e-26,2.235769369722669e-24,-0.36547885452661144
wouter-asymmetric-lognormal vs wouter-euclidean-lognormal,4.1268619216456425e-63,2.723728868286124e-61,0.5445892963625522
wouter-asymmetric-lognormal vs scramble-euclidean-lognormal,0.6255163965880066,1.0,-0.041800445930880725
wouter-asymmetric-lognormal vs swap-euclidean-lognormal,1.1146089272749145e-15,7.356418920014436e-14,0.3667037380290392
wouter-asymmetric-lognormal vs wouter-euclidean-uniform,1.0341612789001796e-140,6.825464440741185e-139,0.4888020103631552
wouter-asymmetric-lognormal vs scramble-euclidean-uniform,0.031284758090018024,1.0,0.09429698506621587
wouter-asymmetric-lognormal vs swap-euclidean-uniform,3.5362497085770686e-155,2.3339248076608654e-153,0.6154691577079636
wouter-asymmetric-lognormal vs wouter-asymmetric-uniform,7.606759711447893e-06,0.0005020461409555609,0.061490022313806736
wouter-asymmetric-lognormal vs swap-asymmetric-uniform,0.30629901661431247,1.0,-0.01499885486681607
wouter-asymmetric-lognormal vs scramble-asymmetric-lognormal,9.202464359860053e-57,6.073626477507635e-55,-0.48294904088354973
wouter-asymmetric-lognormal vs scramble-asymmetric-uniform,4.3541932169605734e-24,2.8737675231939785e-22,-0.34860963019378866
