violation_count,total_violation_magnitude,average_violation_magnitude,violation_ratio,configuration,iteration,generation,optimal_cost
6794,1038037797.0,152787.42964380336,0.2788998357963875,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.6, 'mutation_type': 'swap'}",277,1,54453.0
6794,1037880097.0,152764.21798645865,0.2788998357963875,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.6, 'mutation_type': 'swap'}",287,5,54453.0
6788,1037735352.0,152877.9245727755,0.2786535303776683,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.6, 'mutation_type': 'swap'}",643,8,56365.0
6788,1037604970.0,152858.71685327048,0.2786535303776683,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.6, 'mutation_type': 'swap'}",644,9,56365.0
6783,1037549969.0,152963.2860091405,0.27844827586206894,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.6, 'mutation_type': 'swap'}",646,10,56365.0
6791,1038045015.0,152855.98807244882,0.2787766830870279,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.6, 'mutation_type': 'swap'}",699,23,56365.0
6790,1038100228.0,152886.63151693667,0.27873563218390807,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.6, 'mutation_type': 'swap'}",714,30,56365.0
6779,1036600100.0,152913.42380882136,0.2782840722495895,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.6, 'mutation_type': 'swap'}",715,32,56365.0
6775,1036930886.0,153052.529298893,0.27811986863711,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.6, 'mutation_type': 'swap'}",1284,35,55818.0
6774,1036284851.0,152979.75361677,0.2780788177339901,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.6, 'mutation_type': 'swap'}",1618,36,56240.0
6774,1036286313.0,152979.96944198405,0.2780788177339901,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.6, 'mutation_type': 'swap'}",1715,37,56240.0
6776,1036249895.0,152929.44141086185,0.27816091954022987,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.6, 'mutation_type': 'swap'}",1717,45,56240.0
6774,1036255946.0,152975.48656628284,0.2780788177339901,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.6, 'mutation_type': 'swap'}",1762,60,56240.0
6777,1036715547.0,152975.58610004428,0.27820197044334977,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.6, 'mutation_type': 'swap'}",1763,65,56240.0
6776,1036788031.0,153008.85935655254,0.27816091954022987,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.6, 'mutation_type': 'swap'}",1765,70,56240.0
7138,1903416613.0,266659.6543849818,0.29302134646962236,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.8, 'mutation_type': 'inplace'}",705,1,46635.0
7140,1904006967.0,266667.6424369748,0.29310344827586204,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.8, 'mutation_type': 'inplace'}",733,4,46635.0
7145,1904877536.0,266602.87417774665,0.29330870279146143,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.8, 'mutation_type': 'inplace'}",831,7,46635.0
7144,1904486214.0,266585.41629339306,0.29326765188834153,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.8, 'mutation_type': 'inplace'}",860,12,46635.0
7144,1904629807.0,266605.51609742444,0.29326765188834153,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.8, 'mutation_type': 'inplace'}",1094,17,46635.0
7144,1904740265.0,266620.97774356103,0.29326765188834153,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.8, 'mutation_type': 'inplace'}",1095,25,46635.0
7141,1903294527.0,266530.53171824676,0.29314449917898194,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.8, 'mutation_type': 'inplace'}",1112,40,46635.0
7145,1903769608.0,266447.810776767,0.29330870279146143,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.8, 'mutation_type': 'inplace'}",1137,41,46635.0
7142,1903555855.0,266529.80327639316,0.2931855500821018,"{'distribution': 'lognormal', 'generation_type': 'asymmetric', 'city_size': 30, 'range': 1.8, 'mutation_type': 'inplace'}",1374,43,46773.0
