size,range,mutations,continuation,tsp type,distribution,mutation strategy
20,"[0.2,0.4,0.6,0.8,1.0]",1000,,euclidean,lognormal,scramble
20,"[1.2,1.4,1.6,1.8,2.0]",1000,,euclidean,lognormal,scramble
20,"[2.2,2.4,2.6,2.8,3.0]",1000,,euclidean,lognormal,scramble
20,"[3.2,3.4,3.6,3.8,4.0]",1000,,euclidean,lognormal,scramble
20,"[4.2,4.4,4.6,4.8,5.0]",1000,,euclidean,lognormal,scramble
20,"[0.2,0.4,0.6,0.8,1.0]",1000,,euclidean,lognormal,wouter
20,"[1.2,1.4,1.6,1.8,2.0]",1000,,euclidean,lognormal,wouter
20,"[2.2,2.4,2.6,2.8,3.0]",1000,,euclidean,lognormal,wouter
20,"[3.2,3.4,3.6,3.8,4.0]",1000,,euclidean,lognormal,wouter
20,"[4.2,4.4,4.6,4.8,5.0]",1000,,euclidean,lognormal,wouter
20,"[0.2,0.4,0.6,0.8,1.0]",1000,,euclidean,lognormal,swap
20,"[1.2,1.4,1.6,1.8,2.0]",1000,,euclidean,lognormal,swap
20,"[2.2,2.4,2.6,2.8,3.0]",1000,,euclidean,lognormal,swap
20,"[3.2,3.4,3.6,3.8,4.0]",1000,,euclidean,lognormal,swap
20,"[4.2,4.4,4.6,4.8,5.0]",1000,,euclidean,lognormal,swap
20,"[0.2,0.4,0.6,0.8,1.0]",1000,,asymmetric,lognormal,scramble
20,"[1.2,1.4,1.6,1.8,2.0]",1000,,asymmetric,lognormal,scramble
20,"[2.2,2.4,2.6,2.8,3.0]",1000,,asymmetric,lognormal,scramble
20,"[3.2,3.4,3.6,3.8,4.0]",1000,,asymmetric,lognormal,scramble
20,"[4.2,4.4,4.6,4.8,5.0]",1000,,asymmetric,lognormal,scramble
20,"[0.2,0.4,0.6,0.8,1.0]",1000,,asymmetric,lognormal,wouter
20,"[1.2,1.4,1.6,1.8,2.0]",1000,,asymmetric,lognormal,wouter
20,"[2.2,2.4,2.6,2.8,3.0]",1000,,asymmetric,lognormal,wouter
20,"[3.2,3.4,3.6,3.8,4.0]",1000,,asymmetric,lognormal,wouter
20,"[4.2,4.4,4.6,4.8,5.0]",1000,,asymmetric,lognormal,wouter
20,"[0.2,0.4,0.6,0.8,1.0]",1000,,asymmetric,lognormal,swap
20,"[1.2,1.4,1.6,1.8,2.0]",1000,,asymmetric,lognormal,swap
20,"[2.2,2.4,2.6,2.8,3.0]",1000,,asymmetric,lognormal,swap
20,"[3.2,3.4,3.6,3.8,4.0]",1000,,asymmetric,lognormal,swap
20,"[4.2,4.4,4.6,4.8,5.0]",1000,,asymmetric,lognormal,swap
30,"[0.2,0.4,0.6,0.8,1.0]",1000,,euclidean,lognormal,scramble
30,"[1.2,1.4,1.6,1.8,2.0]",1000,,euclidean,lognormal,scramble
30,"[2.2,2.4,2.6,2.8,3.0]",1000,,euclidean,lognormal,scramble
30,"[3.2,3.4,3.6,3.8,4.0]",1000,,euclidean,lognormal,scramble
30,"[4.2,4.4,4.6,4.8,5.0]",1000,,euclidean,lognormal,scramble
30,"[0.2,0.4,0.6,0.8,1.0]",1000,,euclidean,lognormal,wouter
30,"[1.2,1.4,1.6,1.8,2.0]",1000,,euclidean,lognormal,wouter
30,"[2.2,2.4,2.6,2.8,3.0]",1000,,euclidean,lognormal,wouter
30,"[3.2,3.4,3.6,3.8,4.0]",1000,,euclidean,lognormal,wouter
30,"[4.2,4.4,4.6,4.8,5.0]",1000,,euclidean,lognormal,wouter
30,[0.2],1000,,euclidean,lognormal,swap
30,"[0.4,0.6,0.8,1.0]",1000,,euclidean,lognormal,swap
30,"[1.2,1.4,1.6,1.8,2.0]",1000,,euclidean,lognormal,swap
30,"[2.2,2.4,2.6,2.8,3.0]",1000,,euclidean,lognormal,swap
30,"[3.2,3.4,3.6,3.8,4.0]",1000,,euclidean,lognormal,swap
30,"[4.2,4.4,4.6,4.8,5.0]",1000,,euclidean,lognormal,swap
30,[0.2],1000,,asymmetric,lognormal,scramble
30,"[0.4,0.6,0.8,1.0]",1000,,asymmetric,lognormal,scramble
30,"[1.2,1.4,1.6,1.8,2.0]",1000,,asymmetric,lognormal,scramble
30,"[2.2,2.4,2.6,2.8,3.0]",1000,,asymmetric,lognormal,scramble
30,"[3.2,3.4,3.6,3.8,4.0]",1000,,asymmetric,lognormal,scramble
30,"[4.2,4.4,4.6,4.8,5.0]",1000,,asymmetric,lognormal,scramble
30,[0.2],1000,,asymmetric,lognormal,wouter
30,"[0.4,0.6,0.8,1.0]",1000,,asymmetric,lognormal,wouter
30,"[1.2,1.4,1.6,1.8,2.0]",1000,,asymmetric,lognormal,wouter
30,"[2.2,2.4,2.6,2.8,3.0]",1000,,asymmetric,lognormal,wouter
30,"[3.2,3.4,3.6,3.8,4.0]",1000,,asymmetric,lognormal,wouter
30,"[4.2,4.4,4.6,4.8,5.0]",1000,,asymmetric,lognormal,wouter
30,[0.2],1000,,asymmetric,lognormal,swap
30,"[0.4,0.6,0.8,1.0]",1000,,asymmetric,lognormal,swap
30,"[1.2,1.4,1.6,1.8,2.0]",1000,,asymmetric,lognormal,swap
30,"[2.2,2.4,2.6,2.8,3.0]",1000,,asymmetric,lognormal,swap
30,"[3.2,3.4,3.6,3.8,4.0]",1000,,asymmetric,lognormal,swap
30,"[4.2,4.4,4.6,4.8,5.0]",1000,,asymmetric,lognormal,swap
