size,range,mutations,continuation,tsp type,distribution,mutation strategy
30,[10],1000,,euclidean,uniform,scramble
30,[15],1000,,euclidean,uniform,scramble
30,[20],1000,,euclidean,uniform,scramble
30,[25],1000,,euclidean,uniform,scramble
30,[30],1000,,euclidean,uniform,scramble
30,[35],1000,,euclidean,uniform,scramble
30,[40],1000,,euclidean,uniform,scramble
30,[1.6],1000,,asymmetric,lognormal,swap
30,[1.8],1000,,asymmetric,lognormal,wouter
30,[2.0],1000,,asymmetric,lognormal,swap
20,[0.2],1000,,euclidean,lognormal,wouter
20,[1.2],1000,,euclidean,lognormal,wouter
20,[1.4],1000,,euclidean,lognormal,wouter
20,[1.8],1000,,euclidean,lognormal,wouter
20,[2.0],1000,,euclidean,lognormal,wouter
20,[2.6],1000,,euclidean,lognormal,wouter
20,[3.0],1000,,euclidean,lognormal,wouter
20,[3.4],1000,,euclidean,lognormal,wouter
20,[3.6],1000,,euclidean,lognormal,wouter
20,[4.0],1000,,euclidean,lognormal,wouter
20,[4.2],1000,,euclidean,lognormal,wouter
20,[4.4],1000,,euclidean,lognormal,wouter
20,[4.6],1000,,euclidean,lognormal,wouter
20,[4.8],1000,,euclidean,lognormal,wouter
20,[5.0],1000,,euclidean,lognormal,wouter
30,[0.6],1000,,euclidean,lognormal,wouter
30,[0.8],1000,,euclidean,lognormal,wouter
30,[1.0],1000,,euclidean,lognormal,wouter
30,[1.2],1000,,euclidean,lognormal,wouter
30,[1.4],1000,,euclidean,lognormal,wouter
30,[1.6],1000,,euclidean,lognormal,wouter
30,[1.8],1000,,euclidean,lognormal,wouter
30,[2.0],1000,,euclidean,lognormal,wouter
30,[2.2],1000,,euclidean,lognormal,wouter
30,[2.4],1000,,euclidean,lognormal,wouter
30,[2.6],1000,,euclidean,lognormal,wouter
30,[2.8],1000,,euclidean,lognormal,wouter
30,[3.0],1000,,euclidean,lognormal,wouter
30,[3.2],1000,,euclidean,lognormal,wouter
30,[3.4],1000,,euclidean,lognormal,wouter
30,[3.6],1000,,euclidean,lognormal,wouter
30,[3.8],1000,,euclidean,lognormal,wouter
30,[4.0],1000,,euclidean,lognormal,wouter
30,[4.2],1000,,euclidean,lognormal,wouter
30,[4.4],1000,,euclidean,lognormal,wouter
30,[4.6],1000,,euclidean,lognormal,wouter
30,[4.8],1000,,euclidean,lognormal,wouter
30,[5.0],1000,,euclidean,lognormal,wouter
20,[0.2],1000,,euclidean,lognormal,swap
20,[0.4],1000,,euclidean,lognormal,swap
20,[0.6],1000,,euclidean,lognormal,swap
20,[0.8],1000,,euclidean,lognormal,swap
20,[1.0],1000,,euclidean,lognormal,swap
20,[1.4],1000,,euclidean,lognormal,swap
20,[1.6],1000,,euclidean,lognormal,swap
20,[1.8],1000,,euclidean,lognormal,swap
20,[2.0],1000,,euclidean,lognormal,swap
20,[2.4],1000,,euclidean,lognormal,swap
20,[2.6],1000,,euclidean,lognormal,swap
20,[2.8],1000,,euclidean,lognormal,swap
20,[3.0],1000,,euclidean,lognormal,swap
20,[3.2],1000,,euclidean,lognormal,swap
20,[3.4],1000,,euclidean,lognormal,swap
20,[3.6],1000,,euclidean,lognormal,swap
20,[3.8],1000,,euclidean,lognormal,swap
20,[4.0],1000,,euclidean,lognormal,swap
20,[4.4],1000,,euclidean,lognormal,swap
20,[4.6],1000,,euclidean,lognormal,swap
20,[4.8],1000,,euclidean,lognormal,swap
20,[50],1000,,euclidean,lognormal,swap
30,[0.2],1000,,euclidean,lognormal,swap
30,[0.4],1000,,euclidean,lognormal,swap
30,[0.6],1000,,euclidean,lognormal,swap
30,[0.8],1000,,euclidean,lognormal,swap
30,[1.0],1000,,euclidean,lognormal,swap
30,[1.2],1000,,euclidean,lognormal,swap
30,[1.4],1000,,euclidean,lognormal,swap
30,[1.6],1000,,euclidean,lognormal,swap
30,[1.8],1000,,euclidean,lognormal,swap
30,[2.0],1000,,euclidean,lognormal,swap
30,[2.2],1000,,euclidean,lognormal,swap
30,[2.4],1000,,euclidean,lognormal,swap
30,[2.6],1000,,euclidean,lognormal,swap
30,[2.8],1000,,euclidean,lognormal,swap
30,[3.0],1000,,euclidean,lognormal,swap
30,[3.2],1000,,euclidean,lognormal,swap
30,[3.4],1000,,euclidean,lognormal,swap
30,[3.6],1000,,euclidean,lognormal,swap
30,[3.8],1000,,euclidean,lognormal,swap
30,[4.0],1000,,euclidean,lognormal,swap
30,[4.2],1000,,euclidean,lognormal,swap
30,[4.4],1000,,euclidean,lognormal,swap
30,[4.6],1000,,euclidean,lognormal,swap
30,[4.8],1000,,euclidean,lognormal,swap
30,[5.0],1000,,euclidean,lognormal,swap
20,[0.2],1000,,euclidean,lognormal,scramble
20,[0.4],1000,,euclidean,lognormal,scramble
20,[0.6],1000,,euclidean,lognormal,scramble
20,[0.8],1000,,euclidean,lognormal,scramble
20,[1.0],1000,,euclidean,lognormal,scramble
20,[3.2],1000,,euclidean,lognormal,scramble
20,[3.4],1000,,euclidean,lognormal,scramble
20,[3.6],1000,,euclidean,lognormal,scramble
20,[3.8],1000,,euclidean,lognormal,scramble
20,[4.0],1000,,euclidean,lognormal,scramble
20,[4.6],1000,,euclidean,lognormal,scramble
20,[4.8],1000,,euclidean,lognormal,scramble
20,[5.0],1000,,euclidean,lognormal,scramble
30,[0.2],1000,,euclidean,lognormal,scramble
30,[0.4],1000,,euclidean,lognormal,scramble
30,[0.6],1000,,euclidean,lognormal,scramble
30,[0.8],1000,,euclidean,lognormal,scramble
30,[1.0],1000,,euclidean,lognormal,scramble
30,[1.6],1000,,euclidean,lognormal,scramble
30,[1.8],1000,,euclidean,lognormal,scramble
30,[2.0],1000,,euclidean,lognormal,scramble
30,[2.2],1000,,euclidean,lognormal,scramble
30,[2.4],1000,,euclidean,lognormal,scramble
30,[2.6],1000,,euclidean,lognormal,scramble
30,[2.8],1000,,euclidean,lognormal,scramble
30,[3.0],1000,,euclidean,lognormal,scramble
30,[3.2],1000,,euclidean,lognormal,scramble
30,[3.4],1000,,euclidean,lognormal,scramble
30,[3.6],1000,,euclidean,lognormal,scramble
30,[3.8],1000,,euclidean,lognormal,scramble
30,[4.0],1000,,euclidean,lognormal,scramble
30,[4.2],1000,,euclidean,lognormal,scramble
30,[4.4],1000,,euclidean,lognormal,scramble
30,[4.6],1000,,euclidean,lognormal,scramble
30,[4.8],1000,,euclidean,lognormal,scramble
30,[5.0],1000,,euclidean,lognormal,scramble
