size,range,mutations,continuation,tsp type,distribution,mutation strategy
20,"[0.2,0.4,0,6,0.8,1.0]",1000,,euclidean,lognormal,scramble
20,"[1.2,1.4,1.6,1.8,2.0,2.2]",1000,,euclidean,lognormal,scramble
20,"[2.4,2.6,2.8,3.0,3.2,3.4,3.6,3.8,4.0,4.2]",1000,,euclidean,lognormal,scramble
20,"[4.4,4.6,4.8,5.0]",1000,,euclidean,lognormal,scramble
30,"[0.2,0.4,0,6,0.8]",1000,,euclidean,lognormal,scramble
30,"[1.0,1.2,1.4,1.6,1.8,2.0,2.2]",1000,,euclidean,lognormal,scramble
30,"[2.4,2.6,2.8,3.0,3.2,3.4,3.6,3.8,4.0,4.2]",1000,,euclidean,lognormal,scramble
30,"[4.4,4.6,4.8,5.0]",1000,,euclidean,lognormal,scramble
30,"[0.2,0.4,0,6,0.8,1.0]",1000,,euclidean,lognormal,swap
30,"[1.2,1.4,1.6,1.8,2.0,2.2]",1000,,euclidean,lognormal,swap
30,"[2.4,2.6,2.8,3.0,3.2]",1000,,euclidean,lognormal,swap
30,"[3.4,3.6,3.8,4.0,4.2]",1000,,euclidean,lognormal,swap
30,"[4.4,4.6,4.8,5.0]",1000,,euclidean,lognormal,swap
30,"[0.2,0.4,0,6,0.8,1.0]",1000,,euclidean,lognormal,inplace
30,"[1.2,1.4,1.6,1.8,2.0,2.2]",1000,,euclidean,lognormal,inplace
30,"[0.2,0.4,0,6,0.8,1.0]",1000,,euclidean,lognormal,inplace
30,"[1.2,1.4,1.6,1.8,2.0,2.2]",1000,,euclidean,lognormal,inplace
30,"[2.4,2.6,2.8,3.0,3.2,3.4,3.6,3.8,4.0,4.2]",1000,,euclidean,lognormal,inplace
30,"[4.4,4.6,4.8,5.0]",1000,,euclidean,lognormal,inplace
20,"[0.2,0.4,0,6,0.8,1.0,1.2,1.4,1.6,1.8,2.0,2.2]",1000,,euclidean,lognormal,random_sampling
20,"[0.2,0.4,0,6,0.8,1.0,1.2,1.4,1.6,1.8,2.0,2.2]",1000,,euclidean,lognormal,random_sampling
20,"[2.4,2.6,2.8,3.0,3.2,3.4,3.6,3.8,4.0,4.2]",1000,,euclidean,lognormal,random_sampling
20,"[4.4,4.6,4.8,5.0]",1000,,euclidean,lognormal,random_sampling
30,"[0.2,0.4,0,6,0.8,1.0]",100,,euclidean,lognormal,random_sampling
30,"[1.2,1.4,1.6,1.8,2.0,2.2]",100,,euclidean,lognormal,random_sampling
30,"[0.2,0.4,0,6,0.8,1.0,1.2,1.4,1.6,1.8,2.0,2.2]",100,,euclidean,lognormal,random_sampling
30,"[2.4,2.6,2.8,3.0,3.2,3.4,3.6,3.8,4.0,4.2]",100,,euclidean,lognormal,random_sampling
30,"[4.4,4.6,4.8,5.0]",100,,euclidean,lognormal,random_sampling
30,"[5,10,15,20,25]",100,,euclidean,uniform,random_sampling
30,"[30,35,40,45,50]",100,,euclidean,uniform,random_sampling
30,"[55,60,65,70,75]",100,,euclidean,uniform,random_sampling
30,"[80,85,90,95,100]",100,,euclidean,uniform,random_sampling
