Generation,Iterations,Configuration
0,150,uniform_asymmetric_wouter_30
1,150,uniform_asymmetric_wouter_30
2,150,uniform_asymmetric_wouter_30
3,150,uniform_asymmetric_wouter_30
4,150,uniform_asymmetric_wouter_30
5,150,uniform_asymmetric_wouter_30
6,200,uniform_asymmetric_wouter_30
7,200,uniform_asymmetric_wouter_30
8,200,uniform_asymmetric_wouter_30
9,200,uniform_asymmetric_wouter_30
10,200,uniform_asymmetric_wouter_30
11,200,uniform_asymmetric_wouter_30
12,200,uniform_asymmetric_wouter_30
13,200,uniform_asymmetric_wouter_30
14,200,uniform_asymmetric_wouter_30
15,195,uniform_asymmetric_wouter_30
16,195,uniform_asymmetric_wouter_30
17,195,uniform_asymmetric_wouter_30
18,195,uniform_asymmetric_wouter_30
19,195,uniform_asymmetric_wouter_30
20,197,uniform_asymmetric_wouter_30
21,197,uniform_asymmetric_wouter_30
22,197,uniform_asymmetric_wouter_30
23,197,uniform_asymmetric_wouter_30
24,197,uniform_asymmetric_wouter_30
25,197,uniform_asymmetric_wouter_30
26,197,uniform_asymmetric_wouter_30
27,467,uniform_asymmetric_wouter_30
28,467,uniform_asymmetric_wouter_30
29,434,uniform_asymmetric_wouter_30
30,891,uniform_asymmetric_wouter_30
31,891,uniform_asymmetric_wouter_30
32,891,uniform_asymmetric_wouter_30
33,942,uniform_asymmetric_wouter_30
34,942,uniform_asymmetric_wouter_30
35,939,uniform_asymmetric_wouter_30
36,939,uniform_asymmetric_wouter_30
37,939,uniform_asymmetric_wouter_30
38,939,uniform_asymmetric_wouter_30
39,904,uniform_asymmetric_wouter_30
40,904,uniform_asymmetric_wouter_30
41,904,uniform_asymmetric_wouter_30
42,904,uniform_asymmetric_wouter_30
43,885,uniform_asymmetric_wouter_30
44,885,uniform_asymmetric_wouter_30
45,885,uniform_asymmetric_wouter_30
46,885,uniform_asymmetric_wouter_30
47,885,uniform_asymmetric_wouter_30
48,885,uniform_asymmetric_wouter_30
49,862,uniform_asymmetric_wouter_30
50,862,uniform_asymmetric_wouter_30
51,862,uniform_asymmetric_wouter_30
52,862,uniform_asymmetric_wouter_30
53,862,uniform_asymmetric_wouter_30
54,862,uniform_asymmetric_wouter_30
55,862,uniform_asymmetric_wouter_30
56,862,uniform_asymmetric_wouter_30
57,862,uniform_asymmetric_wouter_30
58,862,uniform_asymmetric_wouter_30
59,862,uniform_asymmetric_wouter_30
60,862,uniform_asymmetric_wouter_30
61,862,uniform_asymmetric_wouter_30
62,862,uniform_asymmetric_wouter_30
63,862,uniform_asymmetric_wouter_30
64,812,uniform_asymmetric_wouter_30
65,812,uniform_asymmetric_wouter_30
66,812,uniform_asymmetric_wouter_30
67,814,uniform_asymmetric_wouter_30
68,814,uniform_asymmetric_wouter_30
69,620,uniform_asymmetric_wouter_30
70,620,uniform_asymmetric_wouter_30
71,620,uniform_asymmetric_wouter_30
72,620,uniform_asymmetric_wouter_30
73,620,uniform_asymmetric_wouter_30
74,618,uniform_asymmetric_wouter_30
75,651,uniform_asymmetric_wouter_30
76,651,uniform_asymmetric_wouter_30
77,651,uniform_asymmetric_wouter_30
78,651,uniform_asymmetric_wouter_30
79,651,uniform_asymmetric_wouter_30
80,651,uniform_asymmetric_wouter_30
81,651,uniform_asymmetric_wouter_30
82,651,uniform_asymmetric_wouter_30
83,418,uniform_asymmetric_wouter_30
84,418,uniform_asymmetric_wouter_30
85,418,uniform_asymmetric_wouter_30
86,418,uniform_asymmetric_wouter_30
87,418,uniform_asymmetric_wouter_30
88,418,uniform_asymmetric_wouter_30
89,418,uniform_asymmetric_wouter_30
90,97,uniform_asymmetric_wouter_30
91,97,uniform_asymmetric_wouter_30
92,97,uniform_asymmetric_wouter_30
93,75,uniform_asymmetric_wouter_30
94,75,uniform_asymmetric_wouter_30
95,75,uniform_asymmetric_wouter_30
96,75,uniform_asymmetric_wouter_30
97,75,uniform_asymmetric_wouter_30
98,75,uniform_asymmetric_wouter_30
99,75,uniform_asymmetric_wouter_30
100,75,uniform_asymmetric_wouter_30
101,75,uniform_asymmetric_wouter_30
102,75,uniform_asymmetric_wouter_30
103,75,uniform_asymmetric_wouter_30
104,75,uniform_asymmetric_wouter_30
105,63,uniform_asymmetric_wouter_30
106,273,uniform_asymmetric_wouter_30
107,273,uniform_asymmetric_wouter_30
108,273,uniform_asymmetric_wouter_30
109,273,uniform_asymmetric_wouter_30
110,273,uniform_asymmetric_wouter_30
111,273,uniform_asymmetric_wouter_30
112,273,uniform_asymmetric_wouter_30
113,273,uniform_asymmetric_wouter_30
114,273,uniform_asymmetric_wouter_30
115,273,uniform_asymmetric_wouter_30
116,273,uniform_asymmetric_wouter_30
117,273,uniform_asymmetric_wouter_30
118,273,uniform_asymmetric_wouter_30
119,273,uniform_asymmetric_wouter_30
120,273,uniform_asymmetric_wouter_30
121,273,uniform_asymmetric_wouter_30
122,282,uniform_asymmetric_wouter_30
123,282,uniform_asymmetric_wouter_30
124,282,uniform_asymmetric_wouter_30
125,289,uniform_asymmetric_wouter_30
126,289,uniform_asymmetric_wouter_30
127,289,uniform_asymmetric_wouter_30
128,289,uniform_asymmetric_wouter_30
129,289,uniform_asymmetric_wouter_30
130,271,uniform_asymmetric_wouter_30
131,271,uniform_asymmetric_wouter_30
132,271,uniform_asymmetric_wouter_30
133,271,uniform_asymmetric_wouter_30
134,269,uniform_asymmetric_wouter_30
135,269,uniform_asymmetric_wouter_30
136,269,uniform_asymmetric_wouter_30
137,269,uniform_asymmetric_wouter_30
138,269,uniform_asymmetric_wouter_30
139,269,uniform_asymmetric_wouter_30
140,269,uniform_asymmetric_wouter_30
141,269,uniform_asymmetric_wouter_30
142,269,uniform_asymmetric_wouter_30
143,269,uniform_asymmetric_wouter_30
144,269,uniform_asymmetric_wouter_30
145,269,uniform_asymmetric_wouter_30
146,269,uniform_asymmetric_wouter_30
147,269,uniform_asymmetric_wouter_30
148,269,uniform_asymmetric_wouter_30
149,270,uniform_asymmetric_wouter_30
150,274,uniform_asymmetric_wouter_30
151,274,uniform_asymmetric_wouter_30
152,274,uniform_asymmetric_wouter_30
153,265,uniform_asymmetric_wouter_30
154,265,uniform_asymmetric_wouter_30
155,316,uniform_asymmetric_wouter_30
156,315,uniform_asymmetric_wouter_30
157,315,uniform_asymmetric_wouter_30
158,315,uniform_asymmetric_wouter_30
159,315,uniform_asymmetric_wouter_30
160,899,uniform_asymmetric_wouter_30
161,899,uniform_asymmetric_wouter_30
162,899,uniform_asymmetric_wouter_30
163,533,uniform_asymmetric_wouter_30
164,533,uniform_asymmetric_wouter_30
165,533,uniform_asymmetric_wouter_30
166,533,uniform_asymmetric_wouter_30
167,502,uniform_asymmetric_wouter_30
168,502,uniform_asymmetric_wouter_30
169,502,uniform_asymmetric_wouter_30
170,502,uniform_asymmetric_wouter_30
171,502,uniform_asymmetric_wouter_30
172,502,uniform_asymmetric_wouter_30
173,502,uniform_asymmetric_wouter_30
174,502,uniform_asymmetric_wouter_30
175,519,uniform_asymmetric_wouter_30
176,515,uniform_asymmetric_wouter_30
177,515,uniform_asymmetric_wouter_30
178,515,uniform_asymmetric_wouter_30
179,515,uniform_asymmetric_wouter_30
180,535,uniform_asymmetric_wouter_30
181,536,uniform_asymmetric_wouter_30
182,536,uniform_asymmetric_wouter_30
183,536,uniform_asymmetric_wouter_30
184,536,uniform_asymmetric_wouter_30
185,536,uniform_asymmetric_wouter_30
186,536,uniform_asymmetric_wouter_30
187,536,uniform_asymmetric_wouter_30
188,536,uniform_asymmetric_wouter_30
189,536,uniform_asymmetric_wouter_30
190,536,uniform_asymmetric_wouter_30
191,536,uniform_asymmetric_wouter_30
192,536,uniform_asymmetric_wouter_30
193,536,uniform_asymmetric_wouter_30
194,536,uniform_asymmetric_wouter_30
195,536,uniform_asymmetric_wouter_30
196,536,uniform_asymmetric_wouter_30
197,536,uniform_asymmetric_wouter_30
198,536,uniform_asymmetric_wouter_30
199,534,uniform_asymmetric_wouter_30
200,543,uniform_asymmetric_wouter_30
201,543,uniform_asymmetric_wouter_30
202,543,uniform_asymmetric_wouter_30
203,543,uniform_asymmetric_wouter_30
204,1367,uniform_asymmetric_wouter_30
205,1367,uniform_asymmetric_wouter_30
206,1367,uniform_asymmetric_wouter_30
207,1367,uniform_asymmetric_wouter_30
208,590,uniform_asymmetric_wouter_30
209,590,uniform_asymmetric_wouter_30
210,590,uniform_asymmetric_wouter_30
211,590,uniform_asymmetric_wouter_30
212,590,uniform_asymmetric_wouter_30
