Generation,Iterations,Configuration
0,1106,uniform_euclidean_wouter_20
1,465,uniform_euclidean_wouter_20
2,397,uniform_euclidean_wouter_20
3,360,uniform_euclidean_wouter_20
4,414,uniform_euclidean_wouter_20
5,539,uniform_euclidean_wouter_20
6,450,uniform_euclidean_wouter_20
7,612,uniform_euclidean_wouter_20
8,674,uniform_euclidean_wouter_20
9,259,uniform_euclidean_wouter_20
10,402,uniform_euclidean_wouter_20
11,581,uniform_euclidean_wouter_20
12,455,uniform_euclidean_wouter_20
13,824,uniform_euclidean_wouter_20
14,592,uniform_euclidean_wouter_20
15,676,uniform_euclidean_wouter_20
16,638,uniform_euclidean_wouter_20
17,392,uniform_euclidean_wouter_20
18,678,uniform_euclidean_wouter_20
19,675,uniform_euclidean_wouter_20
20,7056,uniform_euclidean_wouter_20
21,4382,uniform_euclidean_wouter_20
22,6628,uniform_euclidean_wouter_20
23,6848,uniform_euclidean_wouter_20
24,8018,uniform_euclidean_wouter_20
25,4234,uniform_euclidean_wouter_20
26,10771,uniform_euclidean_wouter_20
27,9288,uniform_euclidean_wouter_20
28,8704,uniform_euclidean_wouter_20
29,8180,uniform_euclidean_wouter_20
30,3722,uniform_euclidean_wouter_20
31,2400,uniform_euclidean_wouter_20
32,4790,uniform_euclidean_wouter_20
33,1949,uniform_euclidean_wouter_20
34,1280,uniform_euclidean_wouter_20
35,1241,uniform_euclidean_wouter_20
36,3400,uniform_euclidean_wouter_20
37,3299,uniform_euclidean_wouter_20
38,805,uniform_euclidean_wouter_20
39,814,uniform_euclidean_wouter_20
40,965,uniform_euclidean_wouter_20
41,1130,uniform_euclidean_wouter_20
42,2305,uniform_euclidean_wouter_20
43,2262,uniform_euclidean_wouter_20
44,177,uniform_euclidean_wouter_20
45,316,uniform_euclidean_wouter_20
46,649,uniform_euclidean_wouter_20
47,677,uniform_euclidean_wouter_20
48,994,uniform_euclidean_wouter_20
49,961,uniform_euclidean_wouter_20
50,168,uniform_euclidean_wouter_20
51,170,uniform_euclidean_wouter_20
52,196,uniform_euclidean_wouter_20
53,123,uniform_euclidean_wouter_20
54,273,uniform_euclidean_wouter_20
55,790,uniform_euclidean_wouter_20
56,1004,uniform_euclidean_wouter_20
57,449,uniform_euclidean_wouter_20
58,693,uniform_euclidean_wouter_20
59,691,uniform_euclidean_wouter_20
60,1187,uniform_euclidean_wouter_20
61,1183,uniform_euclidean_wouter_20
62,1166,uniform_euclidean_wouter_20
63,1165,uniform_euclidean_wouter_20
64,735,uniform_euclidean_wouter_20
65,733,uniform_euclidean_wouter_20
66,744,uniform_euclidean_wouter_20
67,735,uniform_euclidean_wouter_20
68,678,uniform_euclidean_wouter_20
69,749,uniform_euclidean_wouter_20
70,750,uniform_euclidean_wouter_20
71,785,uniform_euclidean_wouter_20
72,1190,uniform_euclidean_wouter_20
73,1217,uniform_euclidean_wouter_20
74,148,uniform_euclidean_wouter_20
75,272,uniform_euclidean_wouter_20
76,250,uniform_euclidean_wouter_20
77,154,uniform_euclidean_wouter_20
78,154,uniform_euclidean_wouter_20
79,154,uniform_euclidean_wouter_20
80,127,uniform_euclidean_wouter_20
81,127,uniform_euclidean_wouter_20
82,172,uniform_euclidean_wouter_20
83,172,uniform_euclidean_wouter_20
84,162,uniform_euclidean_wouter_20
85,164,uniform_euclidean_wouter_20
86,163,uniform_euclidean_wouter_20
87,148,uniform_euclidean_wouter_20
88,148,uniform_euclidean_wouter_20
89,171,uniform_euclidean_wouter_20
90,176,uniform_euclidean_wouter_20
91,176,uniform_euclidean_wouter_20
92,1061,uniform_euclidean_wouter_20
93,1061,uniform_euclidean_wouter_20
94,1088,uniform_euclidean_wouter_20
95,1094,uniform_euclidean_wouter_20
96,590,uniform_euclidean_wouter_20
97,238,uniform_euclidean_wouter_20
98,238,uniform_euclidean_wouter_20
99,144,uniform_euclidean_wouter_20
100,167,uniform_euclidean_wouter_20
101,170,uniform_euclidean_wouter_20
102,170,uniform_euclidean_wouter_20
103,320,uniform_euclidean_wouter_20
104,318,uniform_euclidean_wouter_20
105,312,uniform_euclidean_wouter_20
106,387,uniform_euclidean_wouter_20
107,177,uniform_euclidean_wouter_20
108,175,uniform_euclidean_wouter_20
109,198,uniform_euclidean_wouter_20
110,198,uniform_euclidean_wouter_20
111,202,uniform_euclidean_wouter_20
112,202,uniform_euclidean_wouter_20
113,203,uniform_euclidean_wouter_20
114,307,uniform_euclidean_wouter_20
115,307,uniform_euclidean_wouter_20
116,307,uniform_euclidean_wouter_20
117,320,uniform_euclidean_wouter_20
118,401,uniform_euclidean_wouter_20
119,441,uniform_euclidean_wouter_20
120,496,uniform_euclidean_wouter_20
121,496,uniform_euclidean_wouter_20
122,177,uniform_euclidean_wouter_20
123,182,uniform_euclidean_wouter_20
124,165,uniform_euclidean_wouter_20
125,165,uniform_euclidean_wouter_20
126,422,uniform_euclidean_wouter_20
